"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
1992,89.1344746715817,112.003061897446,"before 2000",-1.9014421542926,0.0456719646448067,"Black Drongo",0.127649834182902,0.138735028764965,0.150697104305877,-1.9014421542926,0.138735028764965,0.0456719646448067,100
2003,98.1694288818518,126.035986836418,"2000-2006",-1.78231768563769,0.0499810055368843,"Black Drongo",0.141481729403724,0.154855575482642,0.169364408214278,-1.9014421542926,0.138735028764965,0.0456719646448067,111.619665819933
2009,98.1391794791409,123.610979174779,"2007-2010",-1.78798006211564,0.044992672583932,"Black Drongo",0.142021557460425,0.154052315279283,0.16699953891212,-1.9014421542926,0.138735028764965,0.0456719646448067,111.040677073898
2012,115.537634587085,146.006373151698,"2011-2012",-1.61324490095603,0.0456930050313192,"Black Drongo",0.166542147001137,0.180646815823097,0.195799824046849,-1.9014421542926,0.138735028764965,0.0456719646448067,130.209953053123
2013,138.181720746554,172.914602078293,"2013",-1.42044448103766,0.0488942287132991,"Black Drongo",0.19710202810859,0.214634923318775,0.233488950886782,-1.9014421542926,0.138735028764965,0.0456719646448067,154.708529799201
2014,145.822375826102,187.149591339665,"2014",-1.34264366743566,0.0469551539593998,"Black Drongo",0.211949087049349,0.229837964011304,0.248984984889045,-1.9014421542926,0.138735028764965,0.0456719646448067,165.666858656641
2015,142.65908789966,177.741255569933,"2015",-1.38367501735373,0.0452291413701355,"Black Drongo",0.204982957897146,0.221709704791214,0.239584869431016,-1.9014421542926,0.138735028764965,0.0456719646448067,159.808021640173
2016,135.168569844799,169.946679870558,"2016",-1.44577272120189,0.0443718073440625,"Black Drongo",0.194218653569801,0.209874891546021,0.2266069857184,-1.9014421542926,0.138735028764965,0.0456719646448067,151.277506059105
2017,136.014162842208,171.102130530879,"2017",-1.43610347660126,0.0461661747081409,"Black Drongo",0.195291752482571,0.211681240825859,0.229240435432643,-1.9014421542926,0.138735028764965,0.0456719646448067,152.57951990227
2018,134.696518402949,170.225684509014,"2018",-1.44123399452542,0.044629301175013,"Black Drongo",0.194921698145808,0.21072112862546,0.227611179127582,-1.9014421542926,0.138735028764965,0.0456719646448067,151.887472472759
2019,133.164522275236,167.612242888833,"2019",-1.45534772765089,0.0450083429222315,"Black Drongo",0.192343464021965,0.208099255997118,0.224957136581187,-1.9014421542926,0.138735028764965,0.0456719646448067,149.997630626988
2020,137.794482376569,174.711946532796,"2020",-1.42313020049789,0.0452089895926861,"Black Drongo",0.197903190651872,0.214125828487223,0.231476677789484,-1.9014421542926,0.138735028764965,0.0456719646448067,154.341575010577
2021,148.25255804193,184.978367280808,"2021",-1.33963754135066,0.0448107940214201,"Black Drongo",0.213306006433051,0.230443261370333,0.248727733311586,-1.9014421542926,0.138735028764965,0.0456719646448067,166.103156082329
2022,146.530079221287,185.469576159927,"2022",-1.35661557070605,0.0449350565987171,"Black Drongo",0.21007681655237,0.227042257528441,0.245153703395996,-1.9014421542926,0.138735028764965,0.0456719646448067,163.651717630073
2023,138.467921422116,173.182916181312,"2023",-1.4173221098928,0.0443275916088497,"Black Drongo",0.199240036499385,0.215228093133415,0.232303578804579,-1.9014421542926,0.138735028764965,0.0456719646448067,155.13608570914
2024,136.919305415101,170.883053820489,"2024",-1.43741511049869,0.0446421697222995,"Black Drongo",0.195584879988933,0.211435427403478,0.228379105630587,-1.9014421542926,0.138735028764965,0.0456719646448067,152.402337957256
