"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
1992,88.8793167883037,112.352748838734,"before 2000",-1.27840027307013,0.0500845489523474,"Black Drongo",0.223100252188842,0.243068440774491,0.264501422231711,-1.27840027307013,0.243068440774491,0.0500845489523474,100
2003,97.7512637770851,122.941644045301,"2000-2006",-1.16639558034793,0.0458761017743817,"Black Drongo",0.24776150923111,0.267643346785041,0.288794275956672,-1.27840027307013,0.243068440774491,0.0500845489523474,110.110282491733
2009,91.7087047596773,115.085178632622,"2007-2010",-1.23719077393726,0.0452013292125374,"Black Drongo",0.23324985350651,0.251884803291293,0.271728664147914,-1.27840027307013,0.243068440774491,0.0500845489523474,103.627111149728
2012,97.8369346391802,123.895842259239,"2011-2012",-1.16318698962076,0.0483925772335116,"Black Drongo",0.247392582544988,0.268376099369305,0.2907727133184,-1.27840027307013,0.243068440774491,0.0500845489523474,110.411741859279
2013,120.272806941058,148.730320462915,"2013",-0.93209284700549,0.0447935513639339,"Black Drongo",0.302766734982587,0.325463056594891,0.34939932936552,-1.27840027307013,0.243068440774491,0.0500845489523474,133.897702045509
2014,120.97534037122,152.548850786513,"2014",-0.910726021675279,0.0420488057187947,"Black Drongo",0.309549604665972,0.331174499220945,0.353890751611878,-1.27840027307013,0.243068440774491,0.0500845489523474,136.247428158802
2015,119.970969217109,148.082310401753,"2015",-0.933693721733916,0.0428453658996277,"Black Drongo",0.303324731083673,0.325038095181451,0.347886068687925,-1.27840027307013,0.243068440774491,0.0500845489523474,133.722870046716
2016,110.074170124758,137.251492549222,"2016",-1.04071676758897,0.0431401838921884,"Black Drongo",0.277157792177339,0.297564310999504,0.319117310498235,-1.27840027307013,0.243068440774491,0.0500845489523474,122.419969475006
2017,108.855322886072,135.892134209845,"2017",-1.04919301118326,0.0422187406815786,"Black Drongo",0.275596424710509,0.295467107038514,0.316434878403514,-1.27840027307013,0.243068440774491,0.0500845489523474,121.557165585572
2018,106.711589387654,133.932834512554,"2018",-1.06741261214474,0.0432489640089897,"Black Drongo",0.270901959192811,0.290998163815293,0.312243099943605,-1.27840027307013,0.243068440774491,0.0500845489523474,119.718612127549
2019,104.25938616808,130.320482661253,"2019",-1.09546790314979,0.0423454366163527,"Black Drongo",0.264901508203179,0.284220493617376,0.304636230460266,-1.27840027307013,0.243068440774491,0.0500845489523474,116.930232782077
2020,108.847594988379,136.658223752067,"2020",-1.05136162724942,0.0427298614722072,"Black Drongo",0.274856762025405,0.294932396012589,0.316131555587678,-1.27840027307013,0.243068440774491,0.0500845489523474,121.337181854149
2021,113.053652759729,140.002672084066,"2021",-1.00561941628265,0.042136666399067,"Black Drongo",0.285962484652564,0.306370949681405,0.327876207257843,-1.27840027307013,0.243068440774491,0.0500845489523474,126.04308017331
2022,109.082276487814,136.884584990676,"2022",-1.05291497356423,0.0431150385388041,"Black Drongo",0.274319233357118,0.294549854098671,0.315924132532159,-1.27840027307013,0.243068440774491,0.0500845489523474,121.179801524272
2023,102.257646066164,126.994512612083,"2023",-1.12465211569395,0.0430325243613937,"Black Drongo",0.258067388933731,0.2773031421562,0.297665648859909,-1.27840027307013,0.243068440774491,0.0500845489523474,114.084387620469
2024,100.706643741225,125.013156098947,"2024",-1.15021261750346,0.0432651600215647,"Black Drongo",0.252358112789753,0.271355597477768,0.291486060008985,-1.27840027307013,0.243068440774491,0.0500845489523474,111.637527526464
