"Lesser Whistling-Duck",-3.26199482541252,-1.97867294311471,-0.695351060816892,-2.63491643774045,-0.657428325760474,1.3200597862195,-2.42161552397645,-0.573524789938254,1.27456594409994,-2.65966064584281,-0.791853199835622,1.07595424617156,-2.51048078926115,-0.723675819592245,1.06312915007666,-2.60979065958964,-0.789735013418129,1.03032063275339,-2.54925112683517,-0.912323150623204,0.724604825588757,-2.68431008427618,-0.812886438510965,1.05853720725425,-2.78034557816255,-0.863600345334698,1.05314488749315,-2.40334717190986,-0.474852906098502,1.45364135971285,-2.08739787734755,-0.161807983559966,1.76378191022762
"Bar-headed Goose",-5.20645921503078,-1.72564063064399,1.7551779537428,-6.43766318687583,-3.12657929651154,0.184504593852752,-5.94526892345779,-2.62883213906878,0.687604645320228,-5.14599695667603,-2.17777572718287,0.790445502310287,-5.77048144325462,-2.61877457967375,0.532932283907123,-5.08421348222914,-2.54648459160912,-0.00875570098910657,-5.70831104058929,-2.51800608244932,0.672298875690642,-5.90893656319436,-2.74100112082103,0.4269343215523,-6.13842015589891,-3.28052829285167,-0.42263642980443,-6.11952495455929,-2.65264101461183,0.81424292533563,-5.2567192426458,-1.75877821273143,1.73916281718293
"Graylag Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Greater White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barnacle Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Garganey",-18.8659066322275,-14.3941875118937,-9.92246839155994,-11.6242193805403,-7.16078355464061,-2.69734772874095,-17.3122088040738,-10.7445986403073,-4.1769884765407,-16.4395179262533,-9.9862798289372,-3.5330417316211,-16.539411901308,-10.1536736774562,-3.7679354536044,-16.5590604402247,-10.2163135417667,-3.87356664330875,-16.6401017532795,-10.2298273930898,-3.8195530329,-16.7606625939415,-10.2510957778743,-3.74152896180714,-17.1502169668363,-10.4911236506354,-3.8320303344346,-16.0812233004338,-9.30292287904177,-2.52462245764971,-17.1732391264907,-9.82614947173699,-2.47905981698329
"Northern Shoveler",-24.3279319727191,-15.7104071858346,-7.09288239895005,-10.9231961362105,-6.40968546886756,-1.89617480152458,-21.8164565025365,-12.8968446029026,-3.97723270326878,-20.4464268856754,-11.221503187576,-1.99657948947661,-20.4438461205894,-11.3534395276086,-2.26303293462777,-20.5445160775225,-11.4658343931323,-2.38715270874207,-20.1609775601337,-11.2080670509242,-2.25515654171463,-20.4748427036658,-11.2397609138851,-2.00467912410443,-21.379486355949,-11.9210292800322,-2.46257220411543,-21.0903442702491,-11.1934269056569,-1.29650954106475,-22.4085680842546,-11.9433855778617,-1.47820307146883
"Gadwall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",-45.6687688387051,-25.7968615381118,-5.92495423751855,-15.2339423559006,-5.09843909963406,5.03706415663245,-39.2475456890395,-17.5931317910563,4.06128210692702,-38.3364273880618,-17.3263838978134,3.68365959243511,-37.3844161755016,-17.1496137756583,3.08518862418508,-36.7274964558943,-16.386334347554,3.95482776078641,-37.4413781898782,-16.5185542031614,4.40426978355533,-36.7729430024188,-15.6615921447145,5.44975871298989,-38.6620248682092,-16.8310178886973,4.99998909081455,-40.2427824674902,-17.5970696922889,5.04864308291245,-39.08347687305,-15.0915643330827,8.90034820688465
"Indian Spot-billed Duck",-1.50257174851576,-0.352046383774087,0.798478980967586,-0.806586881118156,0.0637466397274629,0.934080160573082,-1.45987736686076,-0.478370438408089,0.503136490044586,-1.34184372167667,-0.317692003514674,0.706459714647321,-1.31939122972566,-0.365783590388759,0.587824048948139,-1.25976038694361,-0.320537873553214,0.618684639837181,-1.33969700525413,-0.348318420981457,0.643060163291218,-1.3777802170908,-0.36282633646765,0.652127544155497,-1.45591296224239,-0.53599047467316,0.383932012896067,-1.23674629535159,-0.168269983421754,0.900206328508083,-1.39203949033291,-0.234104835273373,0.923829819786168
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Pintail",-19.2632042480538,-11.1325847416418,-3.00196523522979,-7.89236052195752,-4.52245648185209,-1.15255244174666,-17.5081928347708,-10.2653734052502,-3.02255397572949,-16.292627067214,-8.6038347497918,-0.915042432369613,-16.4922555686789,-9.10774238619984,-1.72322920372079,-16.4214619516442,-8.84099049138951,-1.26051903113485,-16.3288296884621,-8.73969823304483,-1.15056677762757,-16.2747214085907,-8.58413267043094,-0.893543932271151,-17.3160587075234,-9.52461160025147,-1.73316449297957,-17.3257515909814,-9.05672000707099,-0.7876884231606,-17.7761536969502,-9.02000434218833,-0.263854987426469
"Green-winged Teal",-51.3710500861084,-27.1643569260623,-2.95766376601615,-13.3695892674063,-4.95733775736716,3.45491375267199,-45.1006958237959,-21.4377359276378,2.2252239685202,-42.4221613693831,-18.5801948828963,5.26177160359046,-42.2148177661288,-19.6621788855074,2.89045999511409,-42.094742295375,-18.7273991946647,4.63994390604547,-41.6670628806974,-18.3342862482393,4.99849038421881,-41.5392586148435,-17.873353344517,5.79255192580948,-44.7516329671724,-20.7030153913488,3.34560218447473,-45.0048708737079,-19.5469980466823,5.91087478034325,-46.456349837678,-19.4928169309342,7.47071597580959
