"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","rangemean","rangelci","rangerci"
"Rufous-throated Fulvetta","Schoeniparus rufogularis","rutful1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Rufous-throated Fulvetta","Schoeniparus rufogularis","Rufous-throated Fulvetta","Schoeniparus rufogularis","Least Concern","Schedule-II","","",NA,"Rufous-throated Fulvetta","Schoeniparus rufogularis","avibase-D3441B7C",1,2.69,2,0.091741923,974,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rusty-capped Fulvetta","Schoeniparus dubius","rucful1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Rusty-capped Fulvetta","Schoeniparus dubius","Rusty-capped Fulvetta","Schoeniparus dubius","Least Concern","Schedule-II","","",NA,"Rusty-capped Fulvetta","Schoeniparus dubius","avibase-D581A297",1,2.78,1,0.101077883,975,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puff-throated Babbler","Pellorneum ruficeps","putbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Moderate","Moderate Decline","Uncertain","Large","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Resident",NA,NA,NA,"Puff-throated Babbler","Pellorneum ruficeps","Puff-throated Babbler","Pellorneum ruficeps","Least Concern","Schedule-II","","",NA,"Puff-throated Babbler","Pellorneum ruficeps","avibase-D6800997",1,3.31,9,0.322092074,976,"","X","X",121,0.12396694214876,0.574380165289256,0.743801652892562,15.8677685950413,1.0258853704027,NA,NA,NA,-1.71802617270186,0.484629171906486,2.68728451651483,87.3312206537074,101.474705798467,117.768087464059,85.870560320705,101.835179015624,120.564903424462,84.4738534399917,102.196890596751,123.532400605266,83.0337663268014,102.591763359077,126.601174670917,81.5815458810901,102.982594484872,129.808524605281,80.1168340713585,103.385474925818,133.12985050569,78.6921304499061,103.735551365151,136.638702375315,77.2715220910247,104.073003863829,140.125546669492,NA,NA,NA,94914,94819,95009
"Marsh Babbler","Pellorneum palustre","marbab2","Passeriformes","Pellorneidae (Ground Babblers and Allies)","High","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","Yes","No","Assam Plains","Wetland","Resident",NA,NA,NA,"Marsh Babbler","Pellorneum palustre","Marsh Babbler","Pellorneum palustre","Vulnerable","Schedule-I","","",NA,"Marsh Babbler","Pellorneum palustre","avibase-A9D2D8D4",1,3.08,1,0.904652781,977,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spot-throated Babbler","Pellorneum albiventre","sptbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Spot-throated Babbler","Pellorneum albiventre","Spot-throated Babbler","Pellorneum albiventre","Least Concern","Schedule-II","","",NA,"Spot-throated Babbler","Pellorneum albiventre","avibase-E91198DD",1,3.04,2,0.254126848,978,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Buff-breasted Babbler","Pellorneum tickelli","bubbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Buff-breasted Babbler","Pellorneum tickelli","Buff-breasted Babbler","Pellorneum tickelli","Least Concern","Schedule-II","","",NA,"Buff-breasted Babbler","Pellorneum tickelli","avibase-F013EAF4",1,2.86,1,0.090202898,979,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rufous-vented Grass Babbler","Laticilla burnesii","ruvpri1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Moderate","Data Deficient","Data Deficient","Restricted","Diurnal","Diurnal","Invertebrate","No","Yes","No","Indus Plains","Wetland","Resident",NA,NA,NA,"Rufous-vented Grass Babbler","Laticilla burnesii","Rufous-vented Grass-babbler","Laticilla burnesii","Near Threatened","Schedule-I","","Appendix II",NA,"Rufous-vented Grass Babbler","Laticilla burnesii","avibase-83DCEA75",1,2.58,1,0.252573055,980,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Swamp Grass Babbler","Laticilla cinerascens","swapri1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","High","Data Deficient","Data Deficient","Very Restricted","Diurnal","Diurnal","Invertebrate","No","Yes","No","Assam Plains","Wetland","Resident & Local Migrant",NA,NA,NA,"Swamp Grass Babbler","Laticilla cinerascens","Swamp Grass-babbler","Laticilla cinerascens","Endangered","Schedule-I","","",NA,"Swamp Grass Babbler","Laticilla cinerascens","avibase-B96E3F33",1,3.03,1,1,981,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Abbott's Babbler","Malacocincla abbotti","abbbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)","Low","Data Deficient","Uncertain","Moderate","Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",NA,NA,NA,"Abbott's Babbler","Malacocincla abbotti","Abbott's Babbler","Malacocincla abbotti","Least Concern","Schedule-II","","",NA,"Abbott's Babbler","Malacocincla abbotti","avibase-B0AD6BC8",1,3.06,2,0.062983552,982,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Streaked Wren-Babbler","Gypsophila brevicaudata","stwbab1","Passeriformes","Pellorneidae (Ground Babblers and Allies)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest","Resident",1,NA,NA,"Streaked Wren-Babbler","Gypsophila brevicaudata","Streaked Wren-babbler","Gypsophila brevicaudata","Least Concern","Schedule-II","","",NA,"Streaked Wren-Babbler","Gypsophila brevicaudata","avibase-472A5B98",1,2.97,1,0.085492429,983,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
