"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Chinese Egret",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Little Egret",-2.31000518218827,-0.924156264939898,0.461692652308478,-3.54709130627571,-1.76573842681343,0.0156144526488468,-3.57557143025235,-1.85831655692398,-0.141061683595611,-3.54808356772377,-1.87941678662172,-0.210750005519667,-3.4152797530433,-1.95966320666326,-0.504046660283221,-3.38096328899605,-1.84888131342374,-0.31679933785143,-3.27674060231941,-1.75739136706914,-0.238042131818875,-3.43809714068069,-1.78118425191825,-0.124271363155812,-3.66806962852343,-1.97407199076128,-0.280074352999145,-3.83399283717539,-2.10007470665321,-0.366156576131021,-4.14707219552985,-2.44015415172219,-0.733236107914533
"Western Reef-Heron",-6.95268153972578,-3.67314311621677,-0.393604692707763,-8.37163587296037,-5.35944919210771,-2.34726251125504,-7.52971929438681,-4.37903411216844,-1.22834892995007,-6.78798529379116,-4.12256113112274,-1.45713696845432,-7.65148542477918,-4.66478164621186,-1.67807786764454,-7.15416496197191,-4.57335673831775,-1.99254851466358,-7.38819365030732,-4.44972980826099,-1.51126596621467,-7.67625530488686,-4.57335653396367,-1.47045776304048,-8.0435514939573,-5.16800822132565,-2.29246494869399,-7.8833774647973,-4.56572221618522,-1.24806696757314,-8.20921411722644,-4.70273079603401,-1.19624747484158
"White-eared Night Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Little Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Pond-Heron",-2.59596226061128,-1.49815413392828,-0.400346007245287,-3.1624915347811,-1.90040157012148,-0.638311605461855,-3.46021252949864,-2.23367744051041,-1.00714235152218,-3.33961433461757,-2.10986198566896,-0.88010963672035,-3.18127316353537,-2.21159723871897,-1.24192131390257,-3.20513643213634,-2.10816882029517,-1.01120120845401,-3.28048046664511,-2.08203344488798,-0.883586423130858,-3.35752402982337,-2.1301476314762,-0.902771233129027,-3.40212855784896,-2.14052517960129,-0.878921801353623,-3.53184225463563,-2.23652188752425,-0.941201520412878,-3.76910127722792,-2.47425581663926,-1.17941035605059
"Chinese Pond-Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Javan Pond-Heron",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern Cattle-Egret",-8.29349491761947,-6.31050091820272,-4.32750691878597,-6.19270213368041,-4.45760718545492,-2.72251223722943,-7.33746124542974,-5.1651330912755,-2.99280493712125,-7.55111687671044,-5.49409476803372,-3.43707265935699,-7.4497639431495,-5.37467829206835,-3.2995926409872,-7.38924866061777,-5.31806553876387,-3.24688241690998,-7.32457194969883,-5.45736433120525,-3.59015671271166,-7.5287007003624,-5.4007912018744,-3.2728817033864,-7.60679467515128,-5.41230873584409,-3.21782279653689,-7.32477228925423,-5.06745035204577,-2.81012841483732,-7.41959183814721,-5.02335641289887,-2.62712098765053
"Great Egret",0.57633294855178,1.63822670021779,2.70012045188379,-1.21320647468979,0.442131912578651,2.09747029984709,-1.02813761640609,0.584928896336062,2.19799540907821,-1.01988700229196,0.521947806186174,2.0637826146643,-0.944665097049664,0.549241595296206,2.04314828764208,-0.80918344765046,0.610275827364622,2.0297351023797,-0.882068577633503,0.646514154329356,2.17509688629221,-0.788789196161289,0.730137691127674,2.24906457841664,-1.14709361085389,0.3777203844992,1.90253437985229,-1.28202284442329,0.321618003849431,1.92525885212215,-1.36813864661145,0.384794619793002,2.13772788619745
