"LOCALITY.ID","group.id","month","timegroups"
"L10958051","G5082342",3,"2019"
"L10956708","G5081732",3,"2019"
"L3138417","G5085552",3,"2019"
"L10957863","G5082469",3,"2019"
"L3138417","G5085551",3,"2019"
"L10956714","S65766188",3,"2019"
"L3674228","S83795231",3,"2019"
"L10957145","G5085540",3,"2019"
"L10956708","G5081733",3,"2019"
"L3171966","G5082336",3,"2019"
"L3171966","G5082338",3,"2019"
"L10957145","G5085542",3,"2019"
"L10957145","G5085541",3,"2019"
"L10957901","G5082466",3,"2019"
"L10957901","G5082347",3,"2019"
"L10956708","G5081731",3,"2019"
"L10963535","G5085568",3,"2019"
"L3171966","G5082337",3,"2019"
"L10957950","G5082339",3,"2019"
"L10957145","G5085543",3,"2019"
"L3674228","S83796256",3,"2019"
"L10957877","S65772763",3,"2019"
"L10957872","S65772738",3,"2019"
"L10885816","G5044135",3,"2019"
"L10885804","G5044140",3,"2019"
"L10901453","S65451592",3,"2019"
"L2424190","S65386866",3,"2019"
"L10901453","S65456183",3,"2019"
"L2424190","S65386854",3,"2019"
"L2424190","S65386884",3,"2019"
"L11740932","S70662602",3,"2019"
"L12987670","S77736257",3,"2019"
"L5521823","S65638414",3,"2019"
"L5521823","S65300801",3,"2019"
"L5521823","G5056215",3,"2019"
"L2594322","S66152253",3,"2019"
"L26800536","S66387508",3,"2019"
"L26800536","S66160459",3,"2019"
"L2594322","S66029161",3,"2019"
"L2441598","S65858051",3,"2019"
"L26800536","S66195179",3,"2019"
"L2441598","S65738609",3,"2019"
"L26800536","S65996017",3,"2019"
"L2056903","S66085720",3,"2019"
"L26800536","S66298575",3,"2019"
"L2441598","S66308625",3,"2019"
"L26800536","S66193511",3,"2019"
"L26800536","S66261734",3,"2019"
"L26800536","S66271087",3,"2019"
"L26800536","S66344865",3,"2019"
"L26800536","S66394453",3,"2019"
"L10998378","S66029811",3,"2019"
"L26800536","S66266497",3,"2019"
"L26800536","S66187835",3,"2019"
"L26800536","S66430818",3,"2019"
"L26800536","S66303492",3,"2019"
"L26800536","S65772004",3,"2019"
"L26800536","S66225103",3,"2019"
"L26800536","S66261754",3,"2019"
"L26800536","S66425298",3,"2019"
"L26800536","S66349633",3,"2019"
"L26800536","S66033359",3,"2019"
"L26800536","S66152191",3,"2019"
"L2594322","S65970970",3,"2019"
"L3160868","S102395418",3,"2019"
"L3160868","S102389246",3,"2019"
"L3160868","S102393309",3,"2019"
"L2870192","S66570066",3,"2019"
"L2870192","G5489490",3,"2019"
"L2870192","G5489491",3,"2019"
"L961164","G5505136",3,"2019"
"L10895591","S65416390",3,"2019"
"L961164","S65414948",3,"2019"
"L961164","S208951240",3,"2019"
"L961164","S65810290",3,"2019"
"L9720721","S65809159",3,"2019"
"L10176011","S66391218",3,"2019"
"L10176011","S65963028",3,"2019"
"L10176011","S66120774",3,"2019"
"L10176011","S66081788",3,"2019"
"L10176011","S66301615",3,"2019"
"L10176011","S66347933",3,"2019"
"L11141445","S70566542",3,"2019"
"L10176011","S66263218",3,"2019"
"L8560416","S65767247",3,"2019"
"L10176011","S66270012",3,"2019"
"L10176011","S66191743",3,"2019"
"L8560416","S65676181",3,"2019"
"L10176011","S66404856",3,"2019"
"L10176011","S66340443",3,"2019"
"L10176011","S66153879",3,"2019"
"L10176011","S66352338",3,"2019"
"L8560416","S65603757",3,"2019"
"L3309873","S65319530",3,"2019"
"L3309873","S65766551",3,"2019"
"L3309873","S65765822",3,"2019"
"L8710836","S66346991",3,"2019"
"L10669758","S65735248",3,"2019"
"L2649161","S65520395",3,"2019"
"L10919744","S65551687",3,"2019"
"L11029182","S66340357",3,"2019"
"L12069575","S72421015",3,"2019"
"L11029182","S66387517",3,"2019"
"L4073389","S65639502",3,"2019"
"L5128827","S68802096",3,"2019"
"L11045630","S66348028",3,"2019"
"L11029645","S66240624",3,"2019"
"L11102604","S66756217",3,"2019"
"L11051623","S66389122",3,"2019"
"L10104251","S143773117",3,"2019"
"L6296551","S65770335",3,"2019"
"L6296551","S65419609",3,"2019"
"L6296551","S65482503",3,"2019"
"L10928910","S65602417",3,"2019"
"L6296551","S65595126",3,"2019"
"L6296551","S65383919",3,"2019"
"L11038769","S66300417",3,"2019"
"L11046215","S66352023",3,"2019"
"L6296551","S65673768",3,"2019"
"L6296551","S65732104",3,"2019"
"L3263972","S65673667",3,"2019"
"L10885482","G5044067",3,"2019"
"L10885292","G5044068",3,"2019"
"L10885232","G5044066",3,"2019"
"L8547523","S66080363",3,"2019"
"L8547523","S65510221",3,"2019"
"L10878543","S65308931",3,"2019"
"L10878540","S65308919",3,"2019"
"L10920107","S65554241",3,"2019"
"L11004981","S66302522",3,"2019"
"L10902571","S65457268",3,"2019"
"L10878536","S65308911",3,"2019"
"L10912848","S65516479",3,"2019"
"L10920105","S65554235",3,"2019"
"L10900976","S65449268",3,"2019"
"L10920106","S65554239",3,"2019"
"L10912842","S65516457",3,"2019"
"L8547523","G5079288",3,"2019"
"L8547523","G5093189",3,"2019"
"L8547523","G5093191",3,"2019"
"L8547523","S66121138",3,"2019"
"L8547523","S66121493",3,"2019"
"L11033348","S66265128",3,"2019"
"L11052403","S66436971",3,"2019"
"L10900975","S65449265",3,"2019"
"L10951882","S65735844",3,"2019"
"L10900978","S65449272",3,"2019"
"L10878520","S65308849",3,"2019"
"L10903249","S65460759",3,"2019"
"L10912844","S65516465",3,"2019"
"L10923233","S65569918",3,"2019"
"L11400550","S68774088",3,"2019"
"L10976951","G5099303",3,"2019"
"L10900983","S65449283",3,"2019"
"L10878526","S65308860",3,"2019"
"L10878523","S65308858",3,"2019"
"L6044292","S65426737",3,"2019"
"L11360710","S68580266",3,"2019"
"L8547523","G5052825",3,"2019"
"L8547523","S65446577",3,"2019"
"L8547523","S65477814",3,"2019"
"L8547523","G5079289",3,"2019"
"L8547523","S65765530",3,"2019"
"L8547523","G5079287",3,"2019"
"L10900977","S65449271",3,"2019"
"L8547523","G5081722",3,"2019"
"L10683323","G5147713",3,"2019"
"L10878547","S65308951",3,"2019"
"L10982316","G5099298",3,"2019"
"L10891399","S65388788",3,"2019"
"L8547523","S65735030",3,"2019"
"L8547523","G5093190",3,"2019"
"L10891394","S65388776",3,"2019"
"L10900697","S65447709",3,"2019"
"L10900974","S65449264",3,"2019"
"L5680991","S65994702",3,"2019"
"L11004981","S66266705",3,"2019"
"L10902568","S65457256",3,"2019"
"L10179294","G5079291",3,"2019"
"L10920346","S65555156",3,"2019"
"L11027844","S66264746",3,"2019"
"L10878529","S65308872",3,"2019"
"L10957504","S65770531",3,"2019"
"L8547523","G5099297",3,"2019"
"L11027844","S66227570",3,"2019"
"L8547523","G5079290",3,"2019"
"L11046235","S66352166",3,"2019"
"L11052403","S66394565",3,"2019"
"L10878533","S65308903",3,"2019"
"L10878246","G5079286",3,"2019"
"L10878546","S65308943",3,"2019"
"L8547523","S65929655",3,"2019"
"L10543467","S66167066",3,"2019"
"L10963626","S65808930",3,"2019"
"L17894126","S143773751",3,"2019"
"L1016606","S65854926",3,"2019"
"L10982579","S65925089",3,"2019"
"L11006540","S66081360",3,"2019"
"L11005722","S66076264",3,"2019"
"L10996372","S66016469",3,"2019"
"L5044537","S65554903",3,"2019"
"L5293392","S65997946",3,"2019"
"L10996372","S66017657",3,"2019"
"L10996372","S66042699",3,"2019"
"L6337009","S143774317",3,"2019"
"L11098055","S66720083",3,"2019"
"L2684892","S68172811",3,"2019"
"L2684892","G5610020",3,"2019"
"L2684892","S88946300",3,"2019"
"L2684892","S65384640",3,"2019"
"L9932480","S105995419",3,"2019"
"L7405044","S87825000",3,"2019"
"L11848170","S71220891",3,"2019"
"L11848187","S71221154",3,"2019"
"L10928727","G5072539",3,"2019"
"L11709095","G5489655",3,"2019"
"L11709095","S70558774",3,"2019"
"L11708550","G5489656",3,"2019"
"L13960503","S88353952",3,"2019"
"L11725446","G5489652",3,"2019"
"L27410158","S151609070",3,"2019"
"L11005035","S66151176",3,"2019"
"L11005035","S66070835",3,"2019"
"L11012482","S66118032",3,"2019"
"L3111314","S68966897",3,"2019"
"L11057077","S66428275",3,"2019"
"L3148324","S68173924",3,"2019"
"L10983224","S65929054",3,"2019"
"L4079048","S65673468",3,"2019"
"L4079048","S65673450",3,"2019"
"L4052999","S65963976",3,"2019"
"L4052999","S65768739",3,"2019"
"L10982836","S65926570",3,"2019"
"L10982836","S65971348",3,"2019"
"L946706","S154950725",3,"2019"
"L946706","S143797182",3,"2019"
"L15197003","S89407423",3,"2019"
"L946706","S65926531",3,"2019"
"L9087264","S65430448",3,"2019"
"L946706","S68794904",3,"2019"
"L9087264","S65482854",3,"2019"
"L946706","S65889485",3,"2019"
"L946706","S65894374",3,"2019"
"L946706","G6122898",3,"2019"
"L9087264","G5090368",3,"2019"
"L946706","S65858469",3,"2019"
"L10977126","G14064884",3,"2019"
"L9087264","S75925633",3,"2019"
"L5666715","S65895421",3,"2019"
"L14170779","S84165263",3,"2019"
"L2529185","S65386161",3,"2019"
"L10920405","S65555428",3,"2019"
"L10928352","S65599115",3,"2019"
"L28583788","S157839417",3,"2019"
"L10151571","S65638589",3,"2019"
"L60999181","S313005971",3,"2019"
"L2529185","S65386156",3,"2019"
"L6278939","S65893489",3,"2019"
"L6278939","S65738450",3,"2019"
"L6278939","S66034606",3,"2019"
"L6278939","S65706269",3,"2019"
"L6278939","S65654000",3,"2019"
"L6278939","S66352693",3,"2019"
"L6278939","S66305974",3,"2019"
"L6278939","S65355417",3,"2019"
"L6278939","S65559069",3,"2019"
"L6278939","S65813884",3,"2019"
"L6278939","S65854807",3,"2019"
"L6278939","S65516018",3,"2019"
"L6278939","S65388637",3,"2019"
"L6278939","S66193820",3,"2019"
"L6278939","S65454406",3,"2019"
"L6278939","S66395847",3,"2019"
"L6278939","S66158741",3,"2019"
"L6278939","S66269366",3,"2019"
"L6278939","S66124428",3,"2019"
"L6278939","S65420697",3,"2019"
"L6278939","S65450887",3,"2019"
"L6278939","S65483470",3,"2019"
"L6278939","S65307712",3,"2019"
"L6278939","S66433446",3,"2019"
"L6278939","S65676182",3,"2019"
"L6278939","S65928718",3,"2019"
"L6278939","S66079732",3,"2019"
"L6278939","S66007770",3,"2019"
"L6278939","S65605972",3,"2019"
"L6278939","S65782117",3,"2019"
"L6278939","S65857689",3,"2019"
"L6278939","S66236727",3,"2019"
"L6278939","S66011869",3,"2019"
"L11747984","S70697359",3,"2019"
"L10976572","S65888964",3,"2019"
"L3631540","S65388908",3,"2019"
"L10989615","S65970969",3,"2019"
"L2837951","G5079165",3,"2019"
"L3146555","G5118617",3,"2019"
"L3146555","G5063128",3,"2019"
"L3953361","S65306051",3,"2019"
"L11605111","S69960310",3,"2019"
"L3198473","G5079168",3,"2019"
"L41632795","S220563888",3,"2019"
"L41632801","S220564262",3,"2019"
"L41632830","S220566053",3,"2019"
"L3244910","S65303538",3,"2019"
"L41632823","S220565709",3,"2019"
"L41632795","S220563887",3,"2019"
"L41632795","S220563886",3,"2019"
"L41632801","S220564224",3,"2019"
"L41632800","S220564180",3,"2019"
"L41632804","S220564446",3,"2019"
"L41632837","S220566444",3,"2019"
"L41632824","S220565795",3,"2019"
"L41632837","S220566429",3,"2019"
"L41632796","S220563941",3,"2019"
"L41632812","S220564851",3,"2019"
"L41632795","S220563881",3,"2019"
"L41632796","S220563947",3,"2019"
"L41632813","S220564900",3,"2019"
"L41632815","S220564989",3,"2019"
"L41632834","S220566306",3,"2019"
"L41632816","S220565106",3,"2019"
"L41632835","S220566352",3,"2019"
"L41632830","S220566040",3,"2019"
"L9797710","S65891516",3,"2019"
"L3374156","G5079173",3,"2019"
"L41632814","S220564974",3,"2019"
"L41632835","S220566340",3,"2019"
"L4411952","G5099155",3,"2019"
"L41632837","S220566426",3,"2019"
"L41632794","S220563824",3,"2019"
"L4388921","G5129594",3,"2019"
"L4414587","G5099165",3,"2019"
"L41632804","S220564443",3,"2019"
"L41632832","S220566207",3,"2019"
"L41632841","S220566625",3,"2019"
"L41632793","S220563778",3,"2019"
"L41632795","S220563873",3,"2019"
"L41632801","S220564273",3,"2019"
"L41632803","S220564404",3,"2019"
"L41632831","S220566129",3,"2019"
"L41632814","S220564940",3,"2019"
"L41632843","S220566754",3,"2019"
"L41632836","S220566381",3,"2019"
"L41632843","S220563761",3,"2019"
"L3247311","S65389016",3,"2019"
"L41632800","S220564179",3,"2019"
"L41632835","S220566338",3,"2019"
"L41632836","S220566383",3,"2019"
"L41632794","S220563832",3,"2019"
"L41632796","S220563922",3,"2019"
"L41632801","S220564274",3,"2019"
"L41632823","S220565718",3,"2019"
"L41632836","S220566387",3,"2019"
"L41632828","S220565956",3,"2019"
"L41632799","S220564121",3,"2019"
"L41632814","S220564960",3,"2019"
"L41632836","S220566384",3,"2019"
"L41632834","S220566297",3,"2019"
"L41632837","S220566439",3,"2019"
"L41632796","S220563937",3,"2019"
"L41632812","S220564855",3,"2019"
"L41632815","S220564991",3,"2019"
"L41632818","S220565253",3,"2019"
"L41632802","S220564320",3,"2019"
"L4497383","G5090316",3,"2019"
"L10956645","S65765914",3,"2019"
"L41632796","S220563935",3,"2019"
"L3247311","G5079220",3,"2019"
"L41632798","S220563983",3,"2019"
"L41632800","S220564190",3,"2019"
"L41632831","S220566132",3,"2019"
"L41632809","S220564670",3,"2019"
"L41632798","S220563984",3,"2019"
"L41632801","S220564218",3,"2019"
"L41632814","S220564978",3,"2019"
"L41632821","S220565588",3,"2019"
"L41632835","S220566337",3,"2019"
"L41632835","S220566351",3,"2019"
"L41632832","S220566196",3,"2019"
"L41632795","S220563895",3,"2019"
"L41632806","S220564543",3,"2019"
"L41632812","S220564854",3,"2019"
"L41632816","S220565108",3,"2019"
"L41632835","S220566356",3,"2019"
"L41632832","S220566180",3,"2019"
"L41632833","S220566237",3,"2019"
"L41632798","S220563985",3,"2019"
"L41632834","S220566307",3,"2019"
"L41632836","S220566386",3,"2019"
"L41632801","S220564280",3,"2019"
"L41632812","S220564845",3,"2019"
"L41632823","S220565730",3,"2019"
"L41632812","S220564852",3,"2019"
"L41632835","S220566347",3,"2019"
"L41632815","S220564992",3,"2019"
"L41632816","S220565102",3,"2019"
"L41632840","S220566490",3,"2019"
"L41632795","S220563892",3,"2019"
"L41632813","S220564898",3,"2019"
"L41632841","S220566567",3,"2019"
"L41632799","S220564122",3,"2019"
"L41632821","S220565587",3,"2019"
"L41632796","S220563934",3,"2019"
"L41632804","S220564442",3,"2019"
"L41632812","S220564849",3,"2019"
"L4388935","G5129657",3,"2019"
"L41632795","S220563890",3,"2019"
"L41632816","S220565109",3,"2019"
"L41632821","S220565594",3,"2019"
"L3247311","S65388992",3,"2019"
"L41632806","S220564544",3,"2019"
"L41632835","S220566333",3,"2019"
"L41632840","S220566491",3,"2019"
"L41632793","S220563779",3,"2019"
"L41632835","S220566350",3,"2019"
"L5078290","G5093628",3,"2019"
"L41632801","S220564267",3,"2019"
"L41632810","S220564720",3,"2019"
"L41632822","S220565636",3,"2019"
"L41632831","S220566135",3,"2019"
"L41632822","S220565623",3,"2019"
"L41632798","S220563986",3,"2019"
"L41632799","S220564119",3,"2019"
"L41632836","S220566378",3,"2019"
"L41632798","S220563989",3,"2019"
"L41632836","S220566394",3,"2019"
"L41632795","S220563885",3,"2019"
"L41632809","S220564664",3,"2019"
"L41632812","S220564844",3,"2019"
"L4414573","G5099163",3,"2019"
"L41632834","S220566311",3,"2019"
"L41632799","S220564126",3,"2019"
"L41632799","S220564124",3,"2019"
"L41632796","S220563942",3,"2019"
"L41632798","S220563990",3,"2019"
"L41632832","S220566197",3,"2019"
"L41632831","S220566123",3,"2019"
"L41632825","S220565829",3,"2019"
"L3247311","S65389036",3,"2019"
"L41632813","S220564901",3,"2019"
"L41632837","S220566428",3,"2019"
"L41632833","S220566244",3,"2019"
"L41632801","S220564219",3,"2019"
"L41632823","S220565733",3,"2019"
"L41632795","S220563896",3,"2019"
"L41632831","S220566127",3,"2019"
"L41632832","S220566199",3,"2019"
"L41632795","S220563884",3,"2019"
"L41632841","S220566624",3,"2019"
"L41632834","S220566291",3,"2019"
"L41632834","S220566312",3,"2019"
"L41632806","S220564545",3,"2019"
"L41632821","S220565593",3,"2019"
"L41632835","S220566334",3,"2019"
"L41632843","S220566760",3,"2019"
"L41632801","S220564223",3,"2019"
"L41632813","S220564902",3,"2019"
"L41632834","S220566304",3,"2019"
"L41632843","S220566753",3,"2019"
"L41632831","S220566124",3,"2019"
"L41632836","S220566400",3,"2019"
"L41632798","S220563992",3,"2019"
"L41632833","S220566242",3,"2019"
"L41632834","S220566310",3,"2019"
"L41632801","S220564266",3,"2019"
"L41632795","S220563891",3,"2019"
"L41632836","S220566382",3,"2019"
"L41632843","S220566759",3,"2019"
"L41632809","S220564667",3,"2019"
"L41632822","S220565643",3,"2019"
"L41632837","S220566447",3,"2019"
"L41632814","S220564976",3,"2019"
"L41632836","S220566391",3,"2019"
"L41632823","S220565731",3,"2019"
"L41632843","S220566761",3,"2019"
"L41632809","S220564663",3,"2019"
"L41632801","S220564272",3,"2019"
"L41632822","S220565635",3,"2019"
"L41632796","S220563923",3,"2019"
"L41632798","S220563987",3,"2019"
"L41632831","S220566142",3,"2019"
"L41632796","S220563932",3,"2019"
"L41632836","S220566399",3,"2019"
"L41632794","S220563820",3,"2019"
"L41632814","S220564939",3,"2019"
"L41632822","S220565622",3,"2019"
"L41632831","S220566133",3,"2019"
"L41632834","S220566303",3,"2019"
"L41632795","S220563880",3,"2019"
"L41632798","S220563988",3,"2019"
"L41632801","S220564279",3,"2019"
"L41632824","S220565786",3,"2019"
"L41632835","S220566335",3,"2019"
"L41632827","S220565896",3,"2019"
"L41632799","S220564106",3,"2019"
"L41632814","S220564966",3,"2019"
"L41632833","S220566236",3,"2019"
"L41632833","S220566246",3,"2019"
"L41632795","S220563877",3,"2019"
"L41632834","S220566305",3,"2019"
"L41632794","S220563814",3,"2019"
"L41632835","S220566353",3,"2019"
"L41632799","S220564123",3,"2019"
"L41632836","S220566385",3,"2019"
"L41632809","S220564665",3,"2019"
"L41632823","S220565732",3,"2019"
"L41632832","S220566204",3,"2019"
"L41632833","S220566229",3,"2019"
"L41632834","S220566309",3,"2019"
"L41632799","S220564118",3,"2019"
"L41632836","S220566403",3,"2019"
"L41632832","S220566189",3,"2019"
"L41632804","S220564444",3,"2019"
"L41632810","S220564719",3,"2019"
"L41632814","S220564975",3,"2019"
"L41632836","S220566388",3,"2019"
"L41632795","S220563894",3,"2019"
"L41632804","S220564445",3,"2019"
"L41632812","S220564850",3,"2019"
"L41632800","S220564189",3,"2019"
"L41632813","S220564903",3,"2019"
"L41632834","S220566299",3,"2019"
"L41632834","S220566308",3,"2019"
"L41632815","S220564994",3,"2019"
"L41632843","S220566771",3,"2019"
"L41632824","S220565781",3,"2019"
"L41632833","S220566245",3,"2019"
"L41632834","S220566298",3,"2019"
"L41632827","S220565895",3,"2019"
"L41632799","S220564105",3,"2019"
"L41632822","S220565621",3,"2019"
"L41632821","S220565396",3,"2019"
"L41632831","S220566134",3,"2019"
"L41632800","S220564192",3,"2019"
"L41632832","S220566195",3,"2019"
"L41632837","S220566445",3,"2019"
"L41632842","S220566661",3,"2019"
"L41632823","S220565720",3,"2019"
"L41632800","S220564188",3,"2019"
"L41632817","S220565218",3,"2019"
"L8166167","G5079604",3,"2019"
"L41632823","S220565717",3,"2019"
"L41632817","S220565210",3,"2019"
"L41632817","S220565212",3,"2019"
"L4497459","G5090353",3,"2019"
"L41632810","S220564717",3,"2019"
"L41632804","S220564448",3,"2019"
"L41632817","S220565217",3,"2019"
"L9797710","S65558923",3,"2019"
"L10993223","G5101539",3,"2019"
"L4389040","G5093553",3,"2019"
"L41632831","S220566126",3,"2019"
"L9797710","S65713050",3,"2019"
"L3722945","G5105461",3,"2019"
"L41632810","S220564718",3,"2019"
"L4414567","G5099162",3,"2019"
"L10956944","G5081739",3,"2019"
"L41632817","S220565219",3,"2019"
"L41632801","S220564269",3,"2019"
"L3862911","S65451102",3,"2019"
"L41632829","S220566006",3,"2019"
"L41632807","S220564589",3,"2019"
"L10865706","G5074380",3,"2019"
"L3722945","G5105522",3,"2019"
"L4389064","G5093526",3,"2019"
"L4388899","G5129589",3,"2019"
"L41632800","S220564187",3,"2019"
"L4388806","G5129570",3,"2019"
"L3722945","G5053276",3,"2019"
"L41632836","S220566389",3,"2019"
"L41632817","S220565211",3,"2019"
"L41632841","S220566627",3,"2019"
"L4388874","G5129585",3,"2019"
"L41632825","S220565838",3,"2019"
"L41632827","S220565876",3,"2019"
"L3722945","S66045300",3,"2019"
"L3722945","G5050022",3,"2019"
"L4388865","G5129583",3,"2019"
"L41632836","S220566390",3,"2019"
"L41632821","S220565393",3,"2019"
"L41632817","S220565205",3,"2019"
"L41632841","S220566557",3,"2019"
"L41632793","S220563742",3,"2019"
"L41632817","S220565220",3,"2019"
"L41632837","S220566431",3,"2019"
"L9797710","S66231130",3,"2019"
"L41632843","S220566768",3,"2019"
"L41632841","S220566561",3,"2019"
"L41632843","S220566765",3,"2019"
"L9797710","S65451159",3,"2019"
"L41632796","S220563924",3,"2019"
"L41632841","S220566562",3,"2019"
"L41632805","S220564499",3,"2019"
"L41632825","S220565828",3,"2019"
"L41632842","S220566717",3,"2019"
"L41632805","S220564484",3,"2019"
"L10988980","S65970951",3,"2019"
"L4388980","G5096165",3,"2019"
"L4389049","G5093543",3,"2019"
"L4414560","G5099161",3,"2019"
"L4388961","G5096170",3,"2019"
"L4414563","G5099160",3,"2019"
"L4497451","G5090326",3,"2019"
"L4389055","G5093530",3,"2019"
"L5540769","G5096174",3,"2019"
"L4389048","G5093544",3,"2019"
"L4414540","G5099159",3,"2019"
"L4388974","G5096167",3,"2019"
"L4388950","G5096177",3,"2019"
"L4389045","G5093546",3,"2019"
"L4389043","G5093551",3,"2019"
"L4414537","G5099158",3,"2019"
"L4417377","G5099168",3,"2019"
"L4497454","G5090348",3,"2019"
"L4388976","G5096166",3,"2019"
"L4389053","G5093539",3,"2019"
"L5536836","G5096176",3,"2019"
"L4497391","G5090320",3,"2019"
"L4411957","G5099156",3,"2019"
"L4388894","G5129588",3,"2019"
"L4388958","G5096172",3,"2019"
"L4389039","G5093556",3,"2019"
"L3146555","G5107914",3,"2019"
"L4389038","G5093559",3,"2019"
"L4388778","G5096179",3,"2019"
"L5536827","G5096175",3,"2019"
"L4414502","G5099157",3,"2019"
"L4388771","G5096178",3,"2019"
"L5872827","S65970963",3,"2019"
"L41632816","S220565105",3,"2019"
"L4411942","G5099154",3,"2019"
"L41632829","S220566010",3,"2019"
"L41632823","S220565727",3,"2019"
"L41632814","S220564971",3,"2019"
"L41632843","S220566756",3,"2019"
"L41632811","S220564776",3,"2019"
"L41632811","S220564800",3,"2019"
"L41632811","S220564775",3,"2019"
"L41632800","S220564170",3,"2019"
"L9797710","S66304948",3,"2019"
"L41632795","S220563875",3,"2019"
"L41632794","S220563829",3,"2019"
"L41632807","S220564598",3,"2019"
"L41632795","S220563874",3,"2019"
"L9797710","S66432525",3,"2019"
"L41632795","S220563876",3,"2019"
"L4388793","G5096187",3,"2019"
"L41632801","S220564270",3,"2019"
"L41632818","S220565356",3,"2019"
"L10902204","S65449805",3,"2019"
"L41632841","S220566564",3,"2019"
"L3198473","G5079167",3,"2019"
"L41632816","S220565104",3,"2019"
"L41632816","S220565103",3,"2019"
"L41632816","S220565101",3,"2019"
"L41632801","S220564276",3,"2019"
"L41632818","S220565355",3,"2019"
"L41632801","S220564271",3,"2019"
"L41632834","S220566288",3,"2019"
"L4388967","G5096169",3,"2019"
"L9797710","S66306325",3,"2019"
"L41632842","S220566659",3,"2019"
"L11039336","G5480971",3,"2019"
"L10993232","G5101548",3,"2019"
"L41632842","S220566660",3,"2019"
"L41632824","S220565792",3,"2019"
"L10896268","S65420490",3,"2019"
"L41632815","S220564982",3,"2019"
"L41632829","S220566005",3,"2019"
"L4389070","G5093524",3,"2019"
"L41632830","S220566041",3,"2019"
"L9797710","S66267165",3,"2019"
"L41632840","S220566492",3,"2019"
"L10896268","S65559568",3,"2019"
"L41632829","S220566008",3,"2019"
"L41632816","S220565112",3,"2019"
"L41632813","S220564909",3,"2019"
"L41632842","S220566662",3,"2019"
"L41632843","S220566764",3,"2019"
"L41632843","S220566763",3,"2019"
"L41632815","S220564993",3,"2019"
"L41632823","S220565707",3,"2019"
"L41632829","S220566007",3,"2019"
"L9797710","S66345292",3,"2019"
"L41632827","S220565874",3,"2019"
"L41632831","S220566139",3,"2019"
"L41632827","S220565877",3,"2019"
"L12456501","S74590790",3,"2019"
"L41632799","S220564113",3,"2019"
"L41632830","S220566052",3,"2019"
"L41632843","S220566762",3,"2019"
"L41632841","S220566569",3,"2019"
"L41632823","S220565708",3,"2019"
"L41632809","S220564668",3,"2019"
"L41632842","S220566719",3,"2019"
"L4388910","G5129591",3,"2019"
"L9797710","S66158650",3,"2019"
"L4388907","G5129590",3,"2019"
"L10675738","S65705215",3,"2019"
"L9797710","S66262219",3,"2019"
"L41632821","S220565398",3,"2019"
"L41632823","S220565716",3,"2019"
"L41632822","S220565629",3,"2019"
"L41632833","S220566234",3,"2019"
"L41632822","S220565632",3,"2019"
"L41632821","S220565395",3,"2019"
"L41632827","S220565884",3,"2019"
"L41632830","S220566044",3,"2019"
"L41632805","S220564497",3,"2019"
"L41632829","S220566002",3,"2019"
"L41632812","S220564853",3,"2019"
"L41632836","S220566397",3,"2019"
"L41632829","S220566001",3,"2019"
"L41632832","S220566190",3,"2019"
"L41632798","S220563978",3,"2019"
"L41632822","S220565680",3,"2019"
"L41632814","S220564968",3,"2019"
"L3247311","G5079221",3,"2019"
"L41632840","S220566489",3,"2019"
"L41632823","S220565710",3,"2019"
"L41632834","S220566314",3,"2019"
"L41632814","S220564977",3,"2019"
"L41632821","S220565399",3,"2019"
"L41632823","S220565715",3,"2019"
"L41632821","S220565389",3,"2019"
"L41632796","S220563925",3,"2019"
"L41632822","S220565679",3,"2019"
"L41632824","S220565790",3,"2019"
"L41632832","S220566191",3,"2019"
"L41632836","S220566398",3,"2019"
"L41632827","S220565885",3,"2019"
"L41632823","S220565725",3,"2019"
"L41632821","S220565585",3,"2019"
"L41632841","S220566568",3,"2019"
"L41632823","S220565713",3,"2019"
"L41632821","S220565586",3,"2019"
"L41632821","S220565400",3,"2019"
"L41632814","S220564961",3,"2019"
"L41632834","S220566301",3,"2019"
"L41632842","S220566663",3,"2019"
"L41632798","S220563977",3,"2019"
"L41632800","S220564174",3,"2019"
"L41632821","S220565390",3,"2019"
"L41632814","S220564980",3,"2019"
"L41632824","S220565789",3,"2019"
"L41632823","S220565714",3,"2019"
"L41632801","S220564222",3,"2019"
"L41632794","S220563813",3,"2019"
"L41632833","S220566249",3,"2019"
"L41632799","S220564129",3,"2019"
"L41632832","S220566192",3,"2019"
"L41632800","S220564185",3,"2019"
"L41632841","S220566560",3,"2019"
"L41632799","S220564109",3,"2019"
"L41632816","S220565110",3,"2019"
"L41632822","S220565642",3,"2019"
"L41632822","S220565646",3,"2019"
"L41632822","S220565634",3,"2019"
"L41632816","S220565107",3,"2019"
"L41632814","S220564963",3,"2019"
"L41632821","S220565392",3,"2019"
"L41632804","S220564447",3,"2019"
"L41632821","S220565394",3,"2019"
"L41632814","S220564973",3,"2019"
"L41632834","S220566292",3,"2019"
"L41632799","S220564130",3,"2019"
"L41632822","S220565628",3,"2019"
"L41632832","S220566188",3,"2019"
"L41632832","S220566194",3,"2019"
"L41632821","S220565397",3,"2019"
"L41632823","S220565719",3,"2019"
"L41632817","S220565215",3,"2019"
"L10951833","G5079217",3,"2019"
"L10993222","G5101531",3,"2019"
"L10993215","G5101521",3,"2019"
"L3722945","G5090481",3,"2019"
"L41632803","S220564399",3,"2019"
