"LOCALITY.ID","group.id","month","timegroups"
"L946706","S50019109",11,"before 2000"
"L946706","S53604937",11,"before 2000"
"L946706","S53604342",11,"before 2000"
"L987622","S55101691",11,"before 2000"
"L987622","S55101734",11,"before 2000"
"L987622","S55101651",11,"before 2000"
"L946706","S142024676",12,"before 2000"
"L946706","S55100405",12,"before 2000"
"L946706","S141906926",12,"before 2000"
"L3147957","S23239591",12,"before 2000"
"L2386783","S56891128",12,"before 2000"
"L1131599","S92747786",1,"before 2000"
"L1131604","S92747782",1,"before 2000"
"L1131604","S92747777",1,"before 2000"
"L976256","S92747280",1,"before 2000"
"L5396438","S39902525",1,"before 2000"
"L3139728","S20473210",1,"before 2000"
"L2567411","S41812169",1,"before 2000"
"L946706","S191347080",2,"before 2000"
"L946706","S190367034",2,"before 2000"
"L946706","S184527572",2,"before 2000"
"L946706","S184529924",2,"before 2000"
"L946706","S184525981",2,"before 2000"
"L1076318","G1364984",3,"before 2000"
"L13743594","S184688321",3,"before 2000"
"L13743594","S184689401",3,"before 2000"
"L15210049","S89517750",4,"before 2000"
"L15210049","S89469717",4,"before 2000"
"L15210049","S89469120",4,"before 2000"
"L15221009","S89518116",4,"before 2000"
"L5073944","S32473962",6,"before 2000"
"L3955150","S181741749",6,"before 2000"
"L14839792","S287818360",8,"before 2000"
"L48544026","S287811618",8,"before 2000"
"L2743097","S253459572",8,"before 2000"
"L946706","S48123070",12,"before 2000"
"L946706","S58993449",1,"before 2000"
"L9087264","S58971421",1,"before 2000"
"L946706","S58932091",1,"before 2000"
"L946706","S59014913",1,"before 2000"
"L946706","S58943525",1,"before 2000"
"L946706","S59023848",1,"before 2000"
"L9087264","S58987250",1,"before 2000"
"L9087264","S58757095",1,"before 2000"
"L946706","S26701281",1,"before 2000"
"L2386799","S24457658",2,"before 2000"
"L946706","S23297655",2,"before 2000"
"L946706","S23301406",2,"before 2000"
"L946706","S77947475",2,"before 2000"
"L946706","S22631086",2,"before 2000"
"L932559","S24589347",2,"before 2000"
"L987622","S78244768",2,"before 2000"
"L946706","S21663790",3,"before 2000"
"L946706","S21673273",3,"before 2000"
"L946706","S21671331",3,"before 2000"
"L946706","S21662667",3,"before 2000"
"L946706","S22655745",3,"before 2000"
"L946706","S22631274",3,"before 2000"
"L946706","S22646497",3,"before 2000"
"L946706","S22657181",3,"before 2000"
"L946706","S21673405",4,"before 2000"
"L946706","S21673733",4,"before 2000"
"L946706","S22715775",4,"before 2000"
"L946706","S20736579",4,"before 2000"
"L946706","S22715036",4,"before 2000"
"L946706","S22715285",4,"before 2000"
"L7523326","S181696415",5,"before 2000"
"L3204730","S181740482",5,"before 2000"
"L8479409","S51961630",5,"before 2000"
"L946706","S21686884",5,"before 2000"
"L946706","S21675230",5,"before 2000"
"L946706","S21688166",5,"before 2000"
"L946706","S21687953",5,"before 2000"
"L946706","S21676986",5,"before 2000"
"L946706","S22723221",5,"before 2000"
"L946706","S22719892",5,"before 2000"
"L946706","S22721006",5,"before 2000"
"L946706","S22720497",5,"before 2000"
"L946706","S21698761",6,"before 2000"
"L946706","S21688379",6,"before 2000"
"L946706","S22735303",6,"before 2000"
"L946706","S21701030",6,"before 2000"
"L946706","S22724667",6,"before 2000"
"L946706","S27313093",6,"before 2000"
"L946706","S22735683",6,"before 2000"
"L946706","S22755927",6,"before 2000"
"L946706","S21709551",7,"before 2000"
"L946706","S22756284",7,"before 2000"
"L946706","S22756348",7,"before 2000"
"L946706","S23778074",7,"before 2000"
"L946706","S27313000",7,"before 2000"
"L3548734","S22756176",7,"before 2000"
"L946706","S38545996",7,"before 2000"
"L946706","S21705754",7,"before 2000"
"L946706","S22756002",7,"before 2000"
"L946706","S21709878",7,"before 2000"
"L946706","S38237212",8,"before 2000"
"L9024644","S32458232",9,"before 2000"
"L946706","S21718752",9,"before 2000"
"L946706","S27316850",9,"before 2000"
"L946706","S38237388",9,"before 2000"
"L946706","S21718529",9,"before 2000"
"L946706","S38237256",9,"before 2000"
"L946706","S21710364",9,"before 2000"
"L946706","S22767289",9,"before 2000"
"L946706","S22767510",9,"before 2000"
"L946706","S22769200",9,"before 2000"
"L946706","S22756426",9,"before 2000"
"L3548734","S24199831",9,"before 2000"
"L946706","S21957948",10,"before 2000"
"L946706","S21978727",10,"before 2000"
"L3548734","S26776026",10,"before 2000"
"L946706","S21946515",10,"before 2000"
"L946706","S21742505",10,"before 2000"
"L946706","S22784773",10,"before 2000"
"L946706","S22797831",10,"before 2000"
"L946706","S22770240",10,"before 2000"
"L946706","S22838954",10,"before 2000"
"L946706","S22797438",10,"before 2000"
"L3221877","S53387060",11,"before 2000"
"L4949548","S53387343",11,"before 2000"
"L946706","S22197393",11,"before 2000"
"L946706","S22289845",11,"before 2000"
"L946706","S22285556",11,"before 2000"
"L946706","S22285034",11,"before 2000"
"L946706","S22844373",11,"before 2000"
"L946706","S22784617",11,"before 2000"
"L946706","S22840444",11,"before 2000"
"L946706","S24741142",11,"before 2000"
"L946706","S24768611",11,"before 2000"
"L946706","S22839165",11,"before 2000"
"L946706","S22297217",12,"before 2000"
"L946706","S22296085",12,"before 2000"
"L946706","S22858035",12,"before 2000"
"L946706","S24769760",12,"before 2000"
"L946706","S22299343",12,"before 2000"
"L946706","S22845272",12,"before 2000"
"L946706","S22889606",12,"before 2000"
"L946706","S22858121",12,"before 2000"
"L946706","S24775245",12,"before 2000"
"L946706","S24768754",12,"before 2000"
"L946706","S26775618",12,"before 2000"
"L4148000","S90610329",12,"before 2000"
"L987622","S90768271",12,"before 2000"
"L987622","S90771007",12,"before 2000"
"L987622","S90770213",12,"before 2000"
"L987622","S90712662",12,"before 2000"
"L15196173","S89402441",1,"before 2000"
"L15196215","S89402725",1,"before 2000"
"L9087264","S93223214",1,"before 2000"
"L9087264","S93410959",1,"before 2000"
"L9087264","S91656865",1,"before 2000"
"L946706","S24203125",1,"before 2000"
"L946706","S22393944",1,"before 2000"
"L946706","S22299623",1,"before 2000"
"L946706","S22385242",1,"before 2000"
"L946706","S22379186",1,"before 2000"
"L9087264","S91354068",1,"before 2000"
"L946706","S91228430",1,"before 2000"
"L9087264","S93093945",1,"before 2000"
"L9087264","S93093366",1,"before 2000"
"L9087264","S91230123",1,"before 2000"
"L9087264","S93497845",1,"before 2000"
"L946706","S22962389",1,"before 2000"
"L946706","S22904019",1,"before 2000"
"L946706","S22892174",1,"before 2000"
"L946706","S22967103",1,"before 2000"
"L946706","S24958148",1,"before 2000"
"L946706","S130195579",2,"before 2000"
"L946706","S130195181",2,"before 2000"
"L946706","S130150738",2,"before 2000"
"L946706","S22394178",2,"before 2000"
"L946706","S61060837",2,"before 2000"
"L946706","S130111550",2,"before 2000"
"L946706","S67453908",2,"before 2000"
"L946706","S24239543",2,"before 2000"
"L946706","S24254683",2,"before 2000"
"L946706","S130197959",2,"before 2000"
"L946706","S24254723",2,"before 2000"
"L946706","S22981250",2,"before 2000"
"L2566831","S79021718",2,"before 2000"
"L2566831","S79015790",2,"before 2000"
"L2567411","S78984888",2,"before 2000"
"L946706","S22394319",3,"before 2000"
"L946706","S22982038",3,"before 2000"
"L8916603","S54219851",3,"before 2000"
"L8916816","S54235327",3,"before 2000"
"L8916816","S54221150",3,"before 2000"
