"gridg0","group.id","month","timegroups"
"27504","S54219851",3,"before 2000"
"26852","S54235327",3,"before 2000"
"26852","S54221150",3,"before 2000"
"27504","S54220612",3,"before 2000"
"27504","S54219222",3,"before 2000"
"287210","S53605738",4,"before 2000"
"294658","S24531276",4,"before 2000"
"294658","S22396018",4,"before 2000"
"294658","S22982600",4,"before 2000"
"294658","S22984904",4,"before 2000"
"361597","S89331466",6,"before 2000"
"361598","S89331465",6,"before 2000"
"294658","S24787930",6,"before 2000"
"294658","S22985197",6,"before 2000"
"294658","S24787877",6,"before 2000"
"294658","S22985121",6,"before 2000"
"69086","S89335317",10,"before 2000"
"69086","S89335319",10,"before 2000"
"69086","S89335318",10,"before 2000"
"191232","S24124457",12,"before 2000"
"269971","S22740994",12,"before 2000"
"298969","S54216855",2,"before 2000"
"230836","S89409453",2,"before 2000"
"294658","S297489148",2,"before 2000"
"294658","S95283979",2,"before 2000"
"277735","S95283799",2,"before 2000"
"294658","S296910942",3,"before 2000"
"294658","S34011630",3,"before 2000"
"294658","S296270269",3,"before 2000"
"294658","S118009770",3,"before 2000"
"277735","S297248670",3,"before 2000"
"278382","S297300977",3,"before 2000"
"277735","S296862548",3,"before 2000"
"52191","S56890991",4,"before 2000"
"294658","S26670722",5,"before 2000"
"294658","S22995904",5,"before 2000"
"294658","S24605501",5,"before 2000"
"294658","S26670578",5,"before 2000"
"294658","S24736810",6,"before 2000"
"294658","S24735988",6,"before 2000"
"294658","S22997048",6,"before 2000"
"294658","S22997089",6,"before 2000"
"277735","S181752743",6,"before 2000"
"208056","S89323616",7,"before 2000"
"208056","S89323982",7,"before 2000"
"206760","S89322328",7,"before 2000"
"161463","S20464313",7,"before 2000"
"168621","S20472917",7,"before 2000"
"168621","S20472922",7,"before 2000"
"394038","G11818970",9,"before 2000"
"70093","S89331454",1,"before 2000"
"70093","S89331450",1,"before 2000"
"70093","S89331449",1,"before 2000"
"231486","S95580148",1,"before 2000"
"224526","S197656218",1,"before 2000"
"297234","S30945956",1,"before 2000"
"294658","S95580151",1,"before 2000"
"294658","S197544179",1,"before 2000"
"294658","S95580153",1,"before 2000"
"69086","S197698549",1,"before 2000"
"329788","S48472342",1,"before 2000"
"187582","S279827827",2,"before 2000"
"294658","S286213417",2,"before 2000"
"299627","G6749888",3,"before 2000"
"165253","S23260416",3,"before 2000"
"296584","S187617198",3,"before 2000"
"294658","S187075974",3,"before 2000"
"294658","S187613173",3,"before 2000"
"294658","S287746090",3,"before 2000"
"286707","S188200800",3,"before 2000"
"286707","S188201122",3,"before 2000"
"329788","S30947685",3,"before 2000"
"294658","S33076596",4,"before 2000"
"40500","G1550763",5,"before 2000"
"294658","S209193423",12,"before 2000"
"220436","S58757102",1,"before 2000"
"220436","S58757101",1,"before 2000"
"394038","S293038379",1,"before 2000"
"244034","S12542446",1,"before 2000"
"244034","S12542339",1,"before 2000"
"244034","S12543275",1,"before 2000"
"244034","S12543243",1,"before 2000"
"294658","S76185016",2,"before 2000"
"294658","S76161577",2,"before 2000"
"294658","S76163295",2,"before 2000"
"294658","S76183913",2,"before 2000"
"53493","S76227080",2,"before 2000"
"69086","S76194426",2,"before 2000"
"69086","S76197166",2,"before 2000"
"69086","S76190015",2,"before 2000"
"69086","S76223248",2,"before 2000"
"40500","S76241161",3,"before 2000"
"40500","S76277781",3,"before 2000"
"40500","S76243758",3,"before 2000"
"40500","S76273711",3,"before 2000"
"40500","S76273977",3,"before 2000"
"294658","S76317888",3,"before 2000"
"294658","S76304993",3,"before 2000"
"294658","S76303718",3,"before 2000"
"277735","S76318233",3,"before 2000"
"277735","S76318667",3,"before 2000"
"277735","S76318412",3,"before 2000"
"277735","S76318136",3,"before 2000"
"277735","S76318751",3,"before 2000"
"53493","S76228388",3,"before 2000"
"53493","S76234256",3,"before 2000"
"53493","S76230834",3,"before 2000"
"295308","S74554220",4,"before 2000"
"295308","S74554124",4,"before 2000"
