"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Northern Shoveler",-2.9762933339179,-0.12046678420347,2.73535976551096,-5.35249543867268,-1.86119234957005,1.63011073953257,-5.96165866606273,-2.95635656602136,0.0489455340200132,-5.72059691487858,-2.32641258572629,1.06777174342601,-5.59710588910807,-2.25827013949075,1.08056561012658,-5.54857718311837,-2.12724203094626,1.29409312122586,-5.40442905826256,-2.02744786107829,1.34953333610599,-5.67099506153768,-2.17982112622163,1.31135280909442,-6.00357414497632,-2.56904976146194,0.865474622052438,-6.07952785564022,-2.35066632972617,1.37819519618788,-6.211257773228,-2.26169170320085,1.68787436682629
"Gadwall",-4.89540873668462,-2.67419288534073,-0.452977033996837,-6.43993541954291,-3.76044583930952,-1.08095625907612,-7.11300626885001,-4.74299676614176,-2.37298726343351,-6.93828718376155,-4.42764103770585,-1.91699489165015,-6.82418969565205,-4.2188482711424,-1.61350684663274,-6.79045613771283,-4.17337771290398,-1.55629928809514,-6.61980405215959,-4.07320192854331,-1.52659980492703,-6.75168527474656,-4.08851839893295,-1.42535152311935,-6.8403489385148,-4.09410564556751,-1.34786235262022,-7.43070106694036,-4.79726065720876,-2.16382024747717,-7.53599834258504,-4.55530219271062,-1.57460604283619
"Falcated Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Wigeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eastern Spot-billed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mallard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Northern Pintail",-4.30862203634015,-2.9165502368488,-1.52447843735745,-8.58554388734109,-5.81939561934942,-3.05324735135776,-8.27858770887633,-5.65197409100262,-3.0253604731289,-7.95911449725736,-5.09227525772927,-2.22543601820117,-7.9231550931558,-5.09646213035597,-2.26976916755615,-7.88571880333723,-5.05686060375303,-2.22800240416883,-7.83751647924839,-5.00680915162351,-2.17610182399862,-7.96253389696686,-5.06721605521503,-2.17189821346321,-8.13342099797451,-5.16981208546577,-2.20620317295702,-8.17732704958205,-5.08058785485702,-1.983848660132,-8.66857284764087,-5.42990567160249,-2.19123849556412
"Green-winged Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Teal",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Marbled Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Pink-headed Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"White-winged Duck",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-crested Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Ferruginous Duck",-4.45015435342837,-0.474907726683625,3.50033890006112,-6.99507151290737,-2.65836386107561,1.67834379075616,-6.74894187280583,-2.55387462105363,1.64119263069857,-5.99475433356486,-2.03707064479806,1.92061304396875,-6.43982847951344,-2.41429503987669,1.61123839976006,-6.30270505222867,-2.31167457746967,1.67935589728933,-6.14589021460402,-2.17262273391722,1.80064474676959,-6.26125859893448,-2.14522269708057,1.97081320477334,-5.63275285994009,-1.67178552892424,2.2891818020916,-7.00265818832314,-2.5707234849068,1.86121121850954,-7.98828198283867,-4.55803561914573,-1.12778925545279
"Baer's Pochard",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
