"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Pale-capped Pigeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Wood-Pigeon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"European Turtle-Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Oriental Turtle-Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Collared-Dove",-1.14777987451205,1.13212185999656,3.41202359450518,-4.16792997774433,-1.0565910150113,2.05474794772173,-4.00354162271633,-1.25105878979291,1.50142404313052,-3.54143252627026,-0.580653108394045,2.38012630948216,-3.52228568161818,-0.609839890293328,2.30260590103153,-3.53017303902252,-0.659133450855698,2.21190613731112,-3.26727361084067,-0.513128802306204,2.24101600622826,-3.1972787513554,-0.378631610401463,2.44001553055247,-3.86515950054117,-0.812188495934439,2.2407825086723,-4.26080738469482,-1.19748919982057,1.86582898505367,-4.59271982277194,-1.33686963386668,1.91898055503858
"Red Collared-Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Spotted Dove",-0.420772548781248,4.94260662812213,10.3059858050255,-0.821714453668129,3.67761843636242,8.17695132639296,-0.130610806546294,4.68672268348699,9.50405617352028,0.506955691930865,5.22339077783966,9.93982586374845,0.302354126653664,4.97870052018846,9.65504691372325,0.996656860299624,5.02929397555954,9.06193109081945,0.513518750365838,4.74090142601239,8.96828410165894,0.0808339947104136,4.52109058373638,8.96134717276234,0.71045953696767,5.49308625447339,10.2757129719791,0.139288107168665,5.22099083031172,10.3026935534548,2.65955656927841,7.16265050697989,11.6657444446814
"Laughing Dove",-3.59879238262299,-1.00289817349232,1.59299603563835,-3.64962251994078,-1.80150837375183,0.0466057724371201,-1.99213881669767,-0.179067090413589,1.63400463587049,-2.92718932085536,-0.665652163677928,1.5958849934995,-3.08021673660317,-0.787368985311862,1.50547876597944,-3.11684932144735,-0.824695084557598,1.46745915233215,-3.05462951658108,-0.773995177458589,1.50663916166391,-2.88191479296576,-0.632600871723394,1.61671304951897,-3.19397806978906,-0.782227436171095,1.62952319744687,-3.56491410636387,-1.09056396214896,1.38378618206594,-3.42909635584662,-0.772405883317642,1.88428458921133
"Barred Cuckoo-Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Andaman Cuckoo-Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Namaqua Dove",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
