"eBird.English.Name.2025","currentslopelci1","currentslopemean1","currentsloperci1","currentslopelci2","currentslopemean2","currentsloperci2","currentslopelci3","currentslopemean3","currentsloperci3","currentslopelci4","currentslopemean4","currentsloperci4","currentslopelci5","currentslopemean5","currentsloperci5","currentslopelci6","currentslopemean6","currentsloperci6","currentslopelci7","currentslopemean7","currentsloperci7","currentslopelci8","currentslopemean8","currentsloperci8","currentslopelci9","currentslopemean9","currentsloperci9","currentslopelci10","currentslopemean10","currentsloperci10","currentslopelci11","currentslopemean11","currentsloperci11"
"Painted Francolin",-9.68116229930085,-6.25030785662422,-2.81945341394759,-8.65969072712161,-3.09496749256188,2.46975574199784,-6.53675640205647,-1.80952334888328,2.9177097042899,-7.94902706426907,-2.74709308509924,2.45484089407058,-7.10646885244486,-2.5597304247053,1.98700800303426,-7.96459275464133,-2.88407083263725,2.19645108936683,-8.05413624632628,-2.89900222531197,2.25613179570235,-8.24813860018547,-3.03290277642914,2.18233304732719,-7.47002266345402,-2.28177412088011,2.9064744216938,-8.32715783608467,-2.73485197185937,2.85745389236592,-7.74600723427967,-1.96784294782707,3.81032133862553
"Tibetan Snowcock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Himalayan Snowcock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Blue-breasted Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Common Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Japanese Quail",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Rain Quail",-15.2543851495916,-6.28018543975245,2.69401427008674,-13.3174591811412,-3.28945421562894,6.73855074988335,-11.1138307515563,-1.3434128995507,8.42700495245494,-11.232555804169,-1.66841982397024,7.89571615622854,-10.7446841816686,-1.61506758676205,7.51454900814453,-9.82965041676816,-1.97946422359591,5.87072196957634,-11.2925747358835,-2.47364886608036,6.34527700372282,-11.3178308485966,-1.71610647926521,7.88561789006623,-9.08568583819214,-0.163621519471326,8.75844279924949,-12.1641670580201,-1.85329636082326,8.45757433637361,-10.3962714630666,0.104530483214451,10.6053324294955
"Chukar",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jungle Bush-Quail",-4.56646460738657,1.53531320485647,7.63709101709951,-3.2978914134776,2.72203172695781,8.74195486739322,-2.57426908273941,3.14523980692005,8.86474869657951,-3.06413042587302,2.2080559107851,7.48024224744323,-2.81284049003592,2.6747373626598,8.16231521535552,-1.82136659481706,2.80571892591692,7.4328044466509,-2.27173626800935,2.35066941643434,6.97307510087803,-3.03177415745399,2.56762041927345,8.16701499600089,-1.90972362343643,3.58694006241019,9.08360374825682,-3.28943754414998,2.75386743166054,8.79717240747106,-1.55904748650481,4.40227877397893,10.3636050344627
"Rock Bush-Quail",0.397853294193633,3.83938502222238,7.28091675025113,-0.0129069918167926,2.48939722317676,4.99170143817032,0.76618485138967,3.87307400000209,6.97996314861451,0.666325778777603,3.73409903909586,6.80187229941411,0.678327906706598,3.70124061150176,6.72415331629692,0.953567393900861,3.71548658314485,6.47740577238883,0.735928250075224,3.55586934622494,6.37581044237465,0.498197259744979,3.4990927906752,6.49998832160541,0.60647979466642,3.76856730950393,6.93065482434143,0.344173104779897,3.63523774322311,6.92630238166632,2.43270236343471,5.21732145213046,8.00194054082622
