"LOCALITY.ID","LATITUDE","LONGITUDE"
"L12557489",32.5335785,77.0176857
"L12557093",30.5305511,77.7045372
"L12558396",33.2415582,77.1592089
"L12557130",33.0342951,77.5893067
"L12557556",32.9173947,77.5794296
"L12556644",32.6127508,77.1446973
"L10098319",13.0062247,80.1877697
"L3173516",19.3737051,78.779912
"L6755429",27.95,73.05
"L8879526",27.9991045,75.7809983
"L3173572",17.4152659,78.440237
"L3173419",19.5,79
"L10098363",13.0589818,80.2814452
"L3173418",18.183333,79.933333
"L7491755",25.4459098,94.6527958
"L11121157",34.428718,74.56813
"L11109622",34.356964,74.567195
"L11109975",34.410726,74.626428
"L11121202",34.4665,74.491461
"L11121873",34.444215,74.479625
"L11121170",34.422749,74.546003
"L11109696",34.4167,74.65
"L11121226",34.480732,74.424662
"L11109422",34.0795082,74.8432261
"L11210428",34.362762,74.664566
"L11121996",34.42219,74.647185
"L11214884",34.261957,74.901087
"L11210508",34.252083,74.663706
"L11211830",34.233428,74.715686
"L11210599",34.249173,74.690548
"L2902624",34.2920411,75.2731276
"L11214960",34.268753,75.164251
"L11214918",34.223452,75.02438
"L11210565",34.240452,74.678711
"L11212066",34.240222,74.807506
"L11211912",34.219957,74.76565
"L11215384",34.267397,75.364386
"L11215450",34.255213,75.412931
"L11228487",34.418348,75.887396
"L11229053",34.582356,75.995584
"L11215544",34.33174,75.574711
"L11228301",34.427844,75.758671
"L11228550",34.477361,75.93486
"L11221423",34.368845,75.589531
"L11221478",34.405387,75.634389
"L11221491",34.400244,75.609948
"L4869297",34.0414928,76.374425
"L11297222",34.067012,76.469307
"L11238062",34.336951,76.570759
"L11229357",34.437326,76.284124
"L11237719",34.377306,76.374316
"L11229132",34.55862,76.134974
"L11237706",34.51089,76.196003
"L11237961",34.381341,76.503253
"L11297347",34.066559,76.431456
"L11229117",34.599066,76.048542
"L11291051",34.272915,76.827832
"L11291064",34.160113,76.844162
"L11291120",34.099673,76.788777
"L11292498",33.978691,76.901194
"L4666981",34.282922,76.774273
"L11293025",33.962089,76.644696
"L11238381",34.321981,76.885642
"L11296837",33.976452,76.580073
"L11292681",33.926865,76.913416
"L11291025",34.312425,76.83987
"L11293267",33.932596,76.669252
"L11296735",33.935367,76.666569
"L11238244",34.288314,76.731807
"L11292771",33.90966,76.880929
"L11103254",34.2452767,76.8317557
"L11304877",34.559224,74.631627
"L11304606",34.642251,74.793332
"L11304796",34.57463,74.652741
"L6749890",34.0429875,76.3403463
"L11297653",34.070467,76.148628
"L11298856",34.073835,75.981286
"L11298524",34.089368,75.994434
"L11299314",34.286134,75.960889
"L11299003",34.055415,75.935956
"L11301105",34.600824,76.0473455
"L11300959",34.592669,76.114189
"L11299188",34.162454,75.946555
"L11299662",34.484944,76.101511
"L11299627",34.449209,76.064733
"L11299528",34.380826,75.97593
"L11297676",34.081117,76.023964
"L11302047",34.940363,75.425146
"L11301656",34.787027,75.692283
"L11303329",35.165981,75.167396
"L11301171",34.6433,75.864609
"L11304304",34.78715,75.105627
"L11301751",34.818037,75.623445
"L11303878",34.915546,75.174553
"L11301254",34.710518,75.756409
"L11303796",35.060754,75.262014
"L11304929",34.518564,74.63712
"L11305138",34.231396,74.646174
"L3173416",17.333333,78.5
"L3173518",17.4419622,78.4984303
"L3173417",18.016667,79.566667
"L3173524",18.0061619,79.5638466
"L11726543",11.7841131,78.1717313
"L11802998",11.8400897,78.2631527
"L11804392",11.8737276,78.4253226
"L11821398",12.024871,78.608711
"L11906789",12.0792362,78.6110928
"L11906627",12.0477566,78.4825516
"L11922974",10.4946587,78.4443789
"L3175195",14.3519426,78.7944946
"L3173413",14.883333,78.1
"L3173414",14.3,78.75
"L6729733",35.43,78.22
"L3173412",15.4,78.833333
"L3173415",17.333333,78.5
"L3173411",15.566667,79.15
"L3175209",16.7394549,82.234726
"L3175206",18.233333,83
"L3175205",18.25,83.083333
"L3846964",26.4,74.6
"L6725337",36.7876352,74.765954
"L3848613",18.660151,72.867495
"L18825779",17.6431016,80.8315658
"L9932788",17.4051202,78.4657602
"L18825719",16.3700194,78.7501823
"L18825744",16.283332,78.6657804
"L18825864",17.5987616,80.6669859
"L18825830",17.6599295,80.9694195
"L18825925",19.3654852,79.151505
"L18826245",18.3238727,77.6953585
"L18826311",20.2657007,75.1141595
"L18826277",19.3705184,78.7684429
"L8902144",31.55,76.36
"L8902315",31.5513842,76.3595172
"L8902281",34.5083321,76.1304725
"L8891083",8.48,76.97
"L9831842",11.6041035,76.6910132
"L8879513",25.25,94.01
"L8896606",34.1821078,78.1460105
"L9362987",11.5098979,77.2292576
"L8879523",28,95.4
"L2594434",11.995163,77.142477
"L6755240",32.5683486,77.0437704
"L3056866",34.1137477,77.5557571
"L18823031",18.2592811,79.9411291
"L8879504",29.07,77
"L3823608",34.1025659,74.711194
"L3922952",11.7206011,76.5870237
"L2579365",12.4249565,76.6570294
"L5089047",13.371886,77.68425
"L3231456",13.3689948,77.191422
"L12388728",34.9779297,75.4988342
"L12969680",25.0068118,88.1413925
"L8879507",33.78,75.1
