"timegroups","COMMON.NAME","timegroupsf","lci","mean","rci","lci_std","mean_std","rci_std","lci_std_recent","mean_std_recent","rci_std_recent","lci_ext_std","mean_ext_std","rci_ext_std","lci_std_comb","mean_std_comb","rci_std_comb"
2017,"Bluethroat","2017",0.0355042036802789,0.0463363645368496,0.0624146360892644,NA,NA,NA,78.4978079437573,97.4882633351586,121.328689130981,NA,NA,NA,78.4978079437573,97.4882633351586,121.328689130981
2018,"Bluethroat","2018",0.0182233525170449,0.0254719663304065,0.0336658701923312,NA,NA,NA,41.9547690465107,52.9500771582871,66.1973647143447,NA,NA,NA,41.9547690465107,52.9500771582871,66.1973647143447
2019,"Bluethroat","2019",0.0224916634522626,0.0306139352854429,0.0399630591151824,NA,NA,NA,51.7429398366585,63.652092283188,78.2519917568691,NA,NA,NA,51.7429398366585,63.652092283188,78.2519917568691
2020,"Bluethroat","2020",0.0220400712612853,0.0296599055630544,0.0385038380968543,NA,NA,NA,51.409053752078,61.5004642456354,75.3549051420274,NA,NA,NA,51.409053752078,61.5004642456354,75.3549051420274
2021,"Bluethroat","2021",0.0212592336953865,0.0279177441954207,0.0367332289255704,NA,NA,NA,47.8189199709856,58.1236107472374,70.999517879804,NA,NA,NA,47.8189199709856,58.1236107472374,70.999517879804
2022,"Bluethroat","2022",0.0239807579120153,0.0319678394123894,0.0413340664394426,NA,NA,NA,55.2765150353038,66.6832540675329,81.7890044236651,NA,NA,NA,55.2765150353038,66.6832540675329,81.7890044236651
2023,"Bluethroat","2023",0.0215871743455339,0.0286294847841931,0.0368029062682167,NA,NA,NA,49.4799665276276,59.5514823716515,73.0069378327555,NA,NA,NA,49.4799665276276,59.5514823716515,73.0069378327555
2024,"Bluethroat","2024",0.0161027202963598,0.0210506479683653,0.0273403409459947,NA,NA,NA,35.916132619904,44.0928735916301,53.8495278575803,NA,NA,NA,35.916132619904,44.0928735916301,53.8495278575803
2025,"Bluethroat","2025",0.0202813535255372,0.0265755290927239,0.033631881798718,NA,NA,NA,45.8954917013487,55.4355423493785,67.6850216600051,NA,NA,NA,45.8954917013487,55.4355423493785,67.6850216600051
2026,"Bluethroat","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,35.5157449695383,44.8965623858373,56.8851403167819,35.5157449695383,44.8965623858373,56.8851403167819
2027,"Bluethroat","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,32.2235574049526,42.0659420237783,54.949497469322,32.2235574049526,42.0659420237783,54.949497469322
2028,"Bluethroat","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,29.2348594299348,39.3944055532166,53.2990656578766,29.2348594299348,39.3944055532166,53.2990656578766
2029,"Bluethroat","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,26.4879427025824,36.9199279139618,51.5746062760397,26.4879427025824,36.9199279139618,51.5746062760397
2030,"Bluethroat","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,24.0147665819039,34.5897116369629,49.9146518563612,24.0147665819039,34.5897116369629,49.9146518563612
2031,"Bluethroat","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7487758267007,32.4083033285006,48.4229282475299,21.7487758267007,32.4083033285006,48.4229282475299
2032,"Bluethroat","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,19.7006001268685,30.377914481731,46.871128388165,19.7006001268685,30.377914481731,46.871128388165
2033,"Bluethroat","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,17.8910678926133,28.4742137813738,45.3897502457249,17.8910678926133,28.4742137813738,45.3897502457249
1992,"Red-breasted Flycatcher","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Red-breasted Flycatcher","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Red-breasted Flycatcher","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Red-breasted Flycatcher","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Red-breasted Flycatcher","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2014,"Red-breasted Flycatcher","2014",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2015,"Red-breasted Flycatcher","2015",0.0388022656641045,0.0515222798869149,0.0662848693856786,NA,NA,NA,100,100,100,NA,NA,NA,100,100,100
2016,"Red-breasted Flycatcher","2016",0.0452189332223484,0.0579521389517309,0.0732323603789374,NA,NA,NA,89.0688376017347,112.331041833987,144.660983383019,NA,NA,NA,89.0688376017347,112.331041833987,144.660983383019
2017,"Red-breasted Flycatcher","2017",0.0344892399294982,0.0446696502344135,0.0585036818855503,NA,NA,NA,67.5360520724667,87.585887824125,114.381111708063,NA,NA,NA,67.5360520724667,87.585887824125,114.381111708063
2018,"Red-breasted Flycatcher","2018",0.0395444519250644,0.0512108095799841,0.0645350544725815,NA,NA,NA,78.6945280189743,99.5828317966981,130.541695686292,NA,NA,NA,78.6945280189743,99.5828317966981,130.541695686292
2019,"Red-breasted Flycatcher","2019",0.0507403513545524,0.0642900350835849,0.0789616786736179,NA,NA,NA,98.6272555879567,124.367754223624,159.941796909544,NA,NA,NA,98.6272555879567,124.367754223624,159.941796909544
2020,"Red-breasted Flycatcher","2020",0.0443525705599665,0.0555642728202635,0.0694518950788994,NA,NA,NA,87.2780172439607,107.722624875305,136.468176561661,NA,NA,NA,87.2780172439607,107.722624875305,136.468176561661
2021,"Red-breasted Flycatcher","2021",0.0634325766114686,0.0786818804240917,0.0963287545943787,NA,NA,NA,123.790536581302,153.513021543046,194.211178768533,NA,NA,NA,123.790536581302,153.513021543046,194.211178768533
2022,"Red-breasted Flycatcher","2022",0.0567872797426455,0.0701632456477993,0.0845361270697865,NA,NA,NA,110.315993838855,135.762012916768,170.682596255034,NA,NA,NA,110.315993838855,135.762012916768,170.682596255034
2023,"Red-breasted Flycatcher","2023",0.0682710864294051,0.0841152171973263,0.101217457014927,NA,NA,NA,132.631793903064,162.641543485239,204.920146036355,NA,NA,NA,132.631793903064,162.641543485239,204.920146036355
2024,"Red-breasted Flycatcher","2024",0.0676017925969295,0.0823745601345815,0.0995879745099383,NA,NA,NA,131.083185809002,159.862786279395,199.319105676028,NA,NA,NA,131.083185809002,159.862786279395,199.319105676028
2025,"Red-breasted Flycatcher","2025",0.0766038260416493,0.0925823912249102,0.110864938004798,NA,NA,NA,146.51493396382,179.559805907435,221.230040226013,NA,NA,NA,146.51493396382,179.559805907435,221.230040226013
2026,"Red-breasted Flycatcher","2026",NA,NA,NA,NA,NA,NA,NA,NA,NA,157.745720276471,185.413067961588,218.538926801174,157.745720276471,185.413067961588,218.538926801174
2027,"Red-breasted Flycatcher","2027",NA,NA,NA,NA,NA,NA,NA,NA,NA,164.643819627053,197.720509243188,238.515601641432,164.643819627053,197.720509243188,238.515601641432
2028,"Red-breasted Flycatcher","2028",NA,NA,NA,NA,NA,NA,NA,NA,NA,171.430684611034,211.045115190494,260.43560564772,171.430684611034,211.045115190494,260.43560564772
2029,"Red-breasted Flycatcher","2029",NA,NA,NA,NA,NA,NA,NA,NA,NA,178.549942882121,224.864539990848,284.334138351254,178.549942882121,224.864539990848,284.334138351254
2030,"Red-breasted Flycatcher","2030",NA,NA,NA,NA,NA,NA,NA,NA,NA,185.917849963841,239.381061540371,310.679572913631,185.917849963841,239.381061540371,310.679572913631
2031,"Red-breasted Flycatcher","2031",NA,NA,NA,NA,NA,NA,NA,NA,NA,193.539625241771,255.36239472918,339.54651545181,193.539625241771,255.36239472918,339.54651545181
2032,"Red-breasted Flycatcher","2032",NA,NA,NA,NA,NA,NA,NA,NA,NA,201.375369935435,272.32996100349,370.414752272334,201.375369935435,272.32996100349,370.414752272334
2033,"Red-breasted Flycatcher","2033",NA,NA,NA,NA,NA,NA,NA,NA,NA,209.758955729939,290.102405416545,404.709134826883,209.758955729939,290.102405416545,404.709134826883
1992,"Black Redstart","before 2000",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,"Black Redstart","2000-2006",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2008,"Black Redstart","2007-2010",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2012,"Black Redstart","2011-2012",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2013,"Black Redstart","2013",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
