"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","SoIB.Latest.Long.Term.Status","SoIB.Latest.Current.Status","SoIB.Latest.Range.Status","SoIB.Latest.Priority.Status","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"Red-footed Falcon","Falco vespertinus","reffal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Uncertain",NA,NA,NA,"Red-footed Falcon","Falco vespertinus","Red-footed Falcon","Falco vespertinus","Vulnerable","Schedule-II","Appendix II","Appendix I",NA,"Red-footed Falcon","Falco vespertinus","avibase-997A9437",NA,5.04,1,NA,601,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Amur Falcon","Falco amurensis","amufal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Passage Migrant",1,NA,NA,"Amur Falcon","Falco amurensis","Amur Falcon","Falco amurensis","Least Concern","Schedule-I","Appendix II","Appendix II",NA,"Amur Falcon","Falco amurensis","avibase-E6137E65",1,4.24,1,0.176732174,602,"","","X",32,NA,0.16015625,0.34375,6.4375,1.3228463172388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,219086,219668,220250,"Insufficient Data","Insufficient Data",NA,"Low","Insufficient Data","Insufficient Data",NA,"Low"
"Merlin","Falco columbarius","merlin","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Grassland","Winter Migrant",NA,NA,NA,"Merlin","Falco columbarius","Merlin","Falco columbarius","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"Merlin","Falco columbarius","avibase-F3DA111C",1,3.84,3,0.012294551,603,"","","",11,NA,0.170454545454545,0.0909090909090909,6.09090909090909,2.0886071122692,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Eurasian Hobby","Falco subbuteo","eurhob","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Open Habitat","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Eurasian Hobby","Falco subbuteo","Eurasian Hobby","Falco subbuteo","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"Eurasian Hobby","Falco subbuteo","avibase-E91E287A",1,4.69,1,0.003191776,604,"","","",74,0.0810810810810811,0.199324324324324,0.324324324324324,6.60810810810811,0.784596234051507,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,85864,86539,87214,NA,NA,NA,"Low",NA,NA,NA,NA
"Oriental Hobby","Falco severus","orihob1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Forest","Resident & Local Migrant",1,NA,NA,"Oriental Hobby","Falco severus","Oriental Hobby","Falco severus","Least Concern","Schedule-II","Appendix II","Appendix II",NA,"Oriental Hobby","Falco severus","avibase-B9538B77",1,4.41,1,0.091741927,605,"X","X","X",14,0.0714285714285714,0.223214285714286,0.285714285714286,7.07142857142857,1.35457061036387,44.4048846582136,138.28385545832,609.840671384893,39.7347072371582,146.569342342237,724.508220089445,35.9458267910576,155.925413980297,874.961684697078,32.1169817665093,164.169974549993,1052.32427190254,28.8388575132765,176.341917727227,1270.42558913055,25.8648747227099,182.77041333864,1539.79083564522,23.3418275876036,192.913999255007,1874.30268009068,21.097129654372,208.417800894056,2264.17836243718,NA,NA,NA,2.30233297036401,237.054647227014,5737696088.68115,-345892364.866699,5.7157498789817,345892376.298199,17824,17824,17824,"Trend Inconclusive","Trend Inconclusive",NA,"Moderate","Insufficient Data","Insufficient Data",NA,"Moderate"
"Laggar Falcon","Falco jugger","lagfal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Grassland","Resident",1,NA,NA,"Laggar Falcon","Falco jugger","Laggar Falcon","Falco jugger","Near Threatened","Schedule-I","Appendix I","",NA,"Laggar Falcon","Falco jugger","avibase-9FB14C90",1,6.05,1,0.763972929,606,"","","X",22,0.181818181818182,0.25,0.272727272727273,6.09090909090909,1.68590331052875,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,111291,111808,112325,"Insufficient Data","Insufficient Data",NA,"Moderate","Insufficient Data","Insufficient Data",NA,"Moderate"
"Saker Falcon","Falco cherrug","sakfal1","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Winter Migrant & Localized Summer Migrant",1,NA,NA,"Saker Falcon","Falco cherrug","Saker Falcon","Falco cherrug","Endangered","Schedule-I","Appendix II","Appendix I",NA,"Saker Falcon","Falco cherrug","avibase-A9F51494",1,6.8,2,0.030979389,607,"","","X",12,0.0833333333333333,0.238095238095238,0.666666666666667,5.83333333333333,1.48395730832436,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13393,14025,14657,"Insufficient Data","Insufficient Data",NA,"High","Insufficient Data","Insufficient Data",NA,"High"
"Peregrine Falcon","Falco peregrinus","perfal","Falconiformes","Falconidae (Falcons and Caracaras)",NA,NA,NA,NA,"Diurnal","Diurnal","Vertebrate & Carrion","No","No","No","Non-endemic","Open Habitat","Resident & Winter Migrant",NA,NA,NA,"Peregrine Falcon","Falco peregrinus","Peregrine Falcon","Falco peregrinus","Least Concern","Schedule-I","Appendix I","Appendix II",NA,"Peregrine Falcon","Falco peregrinus","avibase-47E58408",1,6.08,5,0.031010784,608,"X","X","X",217,0.0875576036866359,0.282834101382488,0.405529953917051,6.93548387096774,0.620196175374724,36.2762561024698,42.5842208070229,50.0710876506275,32.6125389521667,39.1050002800607,47.019764996867,29.3570875014345,35.8934817031331,44.1598219730029,26.3541623786616,32.9783191710068,41.5367219875624,23.6599423917678,30.3560569950037,39.0611828325909,21.2100928793942,27.9012153272895,36.7174428238293,19.0199342563627,25.6344121197069,34.5288644695583,17.0660495807446,23.535116030678,32.4669712836538,NA,NA,NA,-63.0560752183532,-54.001312359036,-42.4963947073759,-6.71396252133901,-5.18422496627149,-3.65448741120397,588147,588147,588147,"Decline","Rapid Decline",NA,"Moderate","Trend Inconclusive","Trend Inconclusive",NA,"Low"
"Alexandrine Parakeet","Psittacula eupatria","alepar2","Psittaciformes","Psittaculidae (Old World Parrots)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Forest & Plantation","Resident",NA,NA,NA,"Alexandrine Parakeet","Psittacula eupatria","Alexandrine Parakeet","Palaeornis eupatria","Least Concern","Schedule-II","Appendix II","",NA,"Alexandrine Parakeet","Psittacula eupatria","avibase-1021FA92",1,9.31,4,0.620048731,609,"X","X","X",315,0.0984126984126984,0.353571428571429,0.53015873015873,5.24444444444444,0.474876999342153,84.4967494855715,94.214419176227,105.118284747587,82.6250568456441,93.5528334459074,105.86672947629,80.7179513464587,92.8625902530528,106.623472603889,78.8738069415355,92.180944130338,107.372492843788,77.0636993035403,91.5246286376288,108.130187462581,75.335802886551,90.8731305832792,108.874341004865,73.6036283037691,90.2180741680669,109.767737164341,71.9483560619018,89.4837505073098,110.716184496232,NA,NA,NA,54.587808205789,77.331052403768,104.075129535991,-4.21393534261628,-1.31413802709246,1.58565928843135,1413594,1414005,1414416,"Rapid Increase","Trend Inconclusive",NA,"Low","Increase","Stable",NA,"Low"
"Rose-ringed Parakeet","Psittacula krameri","rorpar","Psittaciformes","Psittaculidae (Old World Parrots)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Rose-ringed Parakeet","Psittacula krameri","Rose-ringed Parakeet","Alexandrinus krameri","Least Concern","Schedule-II","","",NA,"Rose-ringed Parakeet","Psittacula krameri","avibase-6B1CFC3C",1,10.25,2,0.366446142,610,"X","X","X",609,0.139573070607553,0.446018062397373,0.619047619047619,4.74712643678161,0.31787333598891,91.4805777753117,99.7903415901079,108.865331747385,90.2032135326246,99.4922570865888,109.825156556563,88.9008304817611,99.1875640470108,110.843082752613,87.5751354503808,98.941971895015,111.908787374845,86.2635640767566,98.6429213779846,112.953269765397,84.9543691116506,98.3253525448783,114.003419234169,83.6441791820923,98.0602916671425,115.072706479525,82.3774751332842,97.7688629230377,116.183386172069,NA,NA,NA,16.447650406019,25.102983553958,34.268482213528,-2.35791266212561,-0.415235474595671,1.52744171293426,2568826,2569072,2569318,"Trend Inconclusive","Stable",NA,"Low","Stable","Stable",NA,"Low"
