"eBird.English.Name.2025","eBird.Scientific.Name.2025","eBird.Code","Order","Family","SoIB.Past.Priority.Status","SoIB.Past.Long.Term.Status","SoIB.Past.Current.Status","SoIB.Past.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","Restricted.Islands","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Avilist.English.Name","Avilist.Scientific.Name","Avibase.ID","Selected.NRL","Generation.Length","No.of.Subspecies","Percent.of.Global.Range","India.Checklist.Sortorder","Long.Term.Analysis","Current.Analysis","Selected.SoIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km.latestyear","mean5km","ci5km","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","proj2030.lci","proj2030.mean","proj2030.rci","proj2031.lci","proj2031.mean","proj2031.rci","proj2032.lci","proj2032.mean","proj2032.rci","proj2033.lci","proj2033.mean","proj2033.rci","proj2034.lci","proj2034.mean","proj2034.rci","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","rangelci","rangemean","rangerci","SoIB.Latest.Long.Term.Status","SoIB.Latest.Current.Status","SoIB.Latest.Range.Status","SoIB.Latest.Priority.Status","SoIB.Major.Update.Long.Term.Status","SoIB.Major.Update.Current.Status","SoIB.Major.Update.Range.Status","SoIB.Major.Update.Priority.Status"
"European Starling","Sturnus vulgaris","eursta","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Winter Migrant & Localized Summer Migrant",NA,NA,NA,"Common Starling","Sturnus vulgaris","Common Starling","Sturnus vulgaris","Least Concern","Schedule-II","","",NA,"Common Starling","Sturnus vulgaris","avibase-94A44032",1,5.3,5,0.032793779,1068,"","","X",1,NA,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,"Insufficient Data","Insufficient Data",NA,"High","Insufficient Data","Insufficient Data",NA,"Low"
"Rosy Starling","Pastor roseus","rossta2","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Non-specialized","Winter Migrant",1,NA,NA,"Rosy Starling","Pastor roseus","Rosy Starling","Pastor roseus","Least Concern","Schedule-II","","",NA,"Rosy Starling","Pastor roseus","avibase-24208346",1,3.47,1,0.204455945,1069,"","X","X",279,0.032258064516129,0.347670250896057,0.491039426523298,10.8817204301075,0.675733980394955,72.8643484499725,85.2709384466054,99.965726182493,70.2281577528789,83.8476564946962,100.397876108983,67.617819275825,82.5284819274562,100.942578091353,65.0890422043343,81.1866038708143,101.480335801862,62.6357733773055,79.9194728920877,102.102232885512,60.2684676835027,78.677109656883,102.729484147841,57.9638419434382,77.3788791253652,103.409521639255,55.6996861965298,76.1640543512941,104.156203717163,NA,NA,NA,NA,NA,NA,-3.78855319533582,-1.54586284080479,0.696827513726245,263613,263792,263971,"Insufficient Data","Stable",NA,"Low","Insufficient Data","Rapid Decline",NA,"Moderate"
"Daurian Starling","Agropsar sturninus","dausta1","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Invertebrate","No","No","No","Non-endemic","Forest & Plantation","Winter Migrant",NA,NA,NA,"Daurian Starling","Agropsar sturninus","Purple-backed Starling","Agropsar sturninus","Least Concern","Schedule-II","","",NA,"Daurian Starling","Agropsar sturninus","avibase-2FC5C397",1,3.43,1,NA,1070,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Chestnut-cheeked Starling","Agropsar philippensis","chcsta1","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"Chestnut-cheeked Starling","Agropsar philippensis","Chestnut-cheeked Starling","Agropsar philippensis","Least Concern","Schedule-II","","",NA,"Chestnut-cheeked Starling","Agropsar philippensis","avibase-FDA38B76",NA,3.04,1,NA,1071,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Indian Pied Starling","Gracupica contra","aspsta2","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Resident",1,NA,NA,"Indian Pied Starling","Gracupica contra","Indian Pied Starling","Gracupica contra","Least Concern","Schedule-II","","",NA,"Indian Pied Myna","Gracupica contra","avibase-4913F838",1,3.76,3,0.752054528,1072,"","X","X",229,0.0393013100436681,0.40938864628821,0.580786026200873,10.5807860262009,0.742640468685086,68.9727482792095,80.6700223630821,93.9872827679458,65.9532024770315,78.7227380932507,93.6256023151597,63.0409735120486,76.8895821711092,93.3250270934529,60.2492396584946,75.0233281794716,93.1068027202612,57.5311834513643,73.2200431923798,92.9715370186738,54.9757253207409,71.4510010239681,92.7398530668615,52.5225874718453,69.7488746686273,92.5320350332838,50.1615080301702,68.144879046013,92.4618799857959,NA,NA,NA,NA,NA,NA,-4.26909122925071,-2.06598435129629,0.137122526658142,199188,199305,199422,"Insufficient Data","Stable",NA,"Low","Insufficient Data","Stable",NA,"Low"
"White-shouldered Starling","Sturnia sinensis","whssta2","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Uncertain",NA,1,NA,"White-shouldered Starling","Sturnia sinensis","White-shouldered Starling","Sturnia sinensis","Least Concern","Recent addition","","",NA,"White-shouldered Starling","Sturnia sinensis","avibase-ED5CDA85",NA,3.71,1,NA,1073,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Brahminy Starling","Sturnia pagodarum","brasta1","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Non-specialized","Resident",NA,NA,NA,"Brahminy Starling","Sturnia pagodarum","Brahminy Starling","Sturnia pagodarum","Least Concern","Schedule-II","","",NA,"Brahminy Starling","Sturnia pagodarum","avibase-E44DFDFA",1,3.53,1,0.803591763,1074,"X","X","X",407,0.0835380835380835,0.464066339066339,0.624078624078624,9.5970515970516,0.558019843422828,76.0250931058213,85.0602604451244,95.1708370611209,73.1260277125326,83.079469823681,94.2784775862733,70.3160150184658,81.0901803634474,93.439829581847,67.6090526862678,79.1497705899206,92.6646268642106,64.9601425297867,77.2705812171591,91.8668255663737,62.4457334858203,75.4201438558111,91.1157860819752,60.005756813589,73.6311635833617,90.3257368452046,57.6374405247421,71.8777951740868,89.6115469403987,NA,NA,NA,-13.0239602720261,5.374490299657,31.836774242935,-5.16824837456218,-2.94659376015804,-0.724939145753905,314097,314162,314227,"Stable","Trend Inconclusive",NA,"Moderate","Stable","Stable",NA,"Low"
"Chestnut-tailed Starling","Sturnia malabarica","chtsta2","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","No","No","No","Non-endemic","Forest & Plantation","Resident & Within-India Migrant",NA,NA,NA,"Chestnut-tailed Starling","Sturnia malabarica","Chestnut-tailed Starling","Sturnia malabarica","Least Concern","Schedule-II","","",NA,"Not at species rank","Sturnia malabarica malabarica","avibase-52CE07EE",1,3.37,2,0.471746897,1075,"","X","X",171,0.0233918128654971,0.300438596491228,0.467836257309941,12.9415204678363,0.848766414000138,81.1611772826986,102.059458487984,128.796365154632,79.2625151472607,102.691992831384,133.281891427299,77.2473842402998,103.282266305139,138.413291563739,75.2029616531034,103.85810884345,143.76596150198,73.2404174437862,104.492688691252,149.229082926929,71.4455392381508,105.297364888279,155.018475003459,69.5117890221181,105.904497665786,161.361782084828,67.7076726604141,106.537674103836,167.966889323711,NA,NA,NA,NA,NA,NA,-3.36496719200694,0.544632822941119,4.45423283788918,82244,82244,82244,"Insufficient Data","Trend Inconclusive",NA,"Low","Insufficient Data","Trend Inconclusive",NA,"Low"
"Malabar Starling","Sturnia blythii","malsta1","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Omnivore","Yes","Yes","No","Western Ghats","Forest & Plantation","Resident",NA,NA,NA,"Malabar Starling","Sturnia blythii","Not at species rank","Sturnia malabarica blythii","Not recognized","Schedule-II","","",NA,"Not at species rank","Sturnia malabarica blythii","avibase-1D3605F2",1,3.37,1,1,1076,"","X","X",37,0.027027027027027,0.364864864864865,0.567567567567568,14.8648648648649,1.85905032512694,79.5007204624406,125.510743526862,198.770023990038,77.8000789219633,130.936438052764,219.95471977555,75.9953767131746,136.031592128089,244.786962049948,74.0179004364324,141.202385476013,272.054910461813,72.2061193327248,147.068417316443,302.045579844827,70.233038627922,153.20977681345,334.946170713345,68.4388019460578,159.849959709546,372.621493978399,66.5666296751623,166.270047390848,413.681860672387,NA,NA,NA,NA,NA,NA,-4.24111195319733,3.47439146525196,11.1898948837013,21297,21297,21297,"Insufficient Data","Trend Inconclusive",NA,"Low","Insufficient Data","Trend Inconclusive",NA,"Low"
"White-headed Starling","Sturnia erythropygia","whhsta2","Passeriformes","Sturnidae (Starlings)",NA,NA,NA,NA,"Diurnal","Diurnal","Fruit & Nect","Yes","Yes","No","Andaman and Nicobar Islands","Non-specialized","Resident",NA,NA,1,"White-headed Starling","Sturnia erythropygia","White-headed Starling","Sturnia erythropygia","Least Concern","Schedule-II","","",NA,"White-headed Starling","Sturnia erythropygia","avibase-8A195598",1,3.98,3,1,1077,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"High",NA,NA,NA,NA
