"","sl","COMMON.NAME","timegroupsf","timegroups","freq","se"
"53",11,"Red Junglefowl","2019",2019,-3.4433907158044,0.0921281672172934
"54",11,"Red Junglefowl","2020",2020,-3.52964573258694,0.112664074065156
"55",11,"Red Junglefowl","2021",2021,-3.29133562066822,0.0696262166270405
"56",11,"Red Junglefowl","2022",2022,-3.14019075001462,0.106675150557276
"57",12,"Red Junglefowl","before 2000",1992,-3.36216325947245,0.111561435746975
"58",12,"Red Junglefowl","2000-2006",2003,-3.47633940847721,0.0800265506533938
"59",12,"Red Junglefowl","2007-2010",2009,-3.52854082546668,0.108649317722184
"60",12,"Red Junglefowl","2011-2012",2012,-3.67576542395349,0.0793852898837921
"61",12,"Red Junglefowl","2013",2013,-3.18329704531995,0.0714259956830271
"62",12,"Red Junglefowl","2014",2014,-3.4326961694101,0.0743407522488264
"63",12,"Red Junglefowl","2015",2015,-3.40001160247278,0.0691240575905576
"64",12,"Red Junglefowl","2016",2016,-3.29189018404053,0.0695215142667273
"65",12,"Red Junglefowl","2017",2017,-3.19267503569397,0.104666009342001
"66",12,"Red Junglefowl","2018",2018,-3.34506299213509,0.0879536613822056
"67",12,"Red Junglefowl","2019",2019,-3.13750261557532,0.107369052393724
"68",12,"Red Junglefowl","2020",2020,-3.44169878613789,0.0991335240645946
"69",12,"Red Junglefowl","2021",2021,-3.11855858641972,0.106649404792882
"70",12,"Red Junglefowl","2022",2022,-3.48165183300117,0.0700264040115756
"71",13,"Red Junglefowl","before 2000",1992,-3.36915149453372,0.113070206291475
"72",13,"Red Junglefowl","2000-2006",2003,-3.29456843400718,0.069881523813739
"73",13,"Red Junglefowl","2007-2010",2009,-3.43932566300531,0.0971283142081125
"74",13,"Red Junglefowl","2011-2012",2012,-3.40339276169808,0.0724194224572796
"75",13,"Red Junglefowl","2013",2013,-3.43646732286775,0.0752946353697119
"76",13,"Red Junglefowl","2014",2014,-3.52464275399775,0.117736673026962
"77",13,"Red Junglefowl","2015",2015,-3.18787655357328,0.110485987783336
"78",13,"Red Junglefowl","2016",2016,-3.12609685120142,0.0986461985636259
"79",13,"Red Junglefowl","2017",2017,-3.35083315410886,0.0880054749496737
"80",13,"Red Junglefowl","2018",2018,-3.18580011154936,0.0757883228550301
"81",13,"Red Junglefowl","2019",2019,-3.48128030474082,0.072409899883164
"82",13,"Red Junglefowl","2020",2020,-3.14791206843052,0.0994943627205088
"83",13,"Red Junglefowl","2021",2021,-3.6820160232131,0.0779544532302646
"84",13,"Red Junglefowl","2022",2022,-3.48138057293932,0.073574503176393
"85",14,"Red Junglefowl","before 2000",1992,-3.36478911690925,0.103726723584795
"86",14,"Red Junglefowl","2000-2006",2003,-3.11906387341187,0.103040348993372
"87",14,"Red Junglefowl","2007-2010",2009,-3.13962911418828,0.108642842896935
"88",14,"Red Junglefowl","2011-2012",2012,-3.18809231437062,0.102791961572577
"89",14,"Red Junglefowl","2013",2013,-3.52665153573077,0.109855973881207
"90",14,"Red Junglefowl","2014",2014,-3.43487826834579,0.0998068924086878
"91",14,"Red Junglefowl","2015",2015,-3.33624643728506,0.0831386661148835
"92",14,"Red Junglefowl","2016",2016,-3.67211819090681,0.0825808146322684
"93",14,"Red Junglefowl","2017",2017,-3.1773506355104,0.0795098002823837
"94",14,"Red Junglefowl","2018",2018,-3.42515058311481,0.0822072386819255
"95",14,"Red Junglefowl","2019",2019,-3.47306084547109,0.0770790148696955
"96",14,"Red Junglefowl","2020",2020,-3.47453504483451,0.0769465929143029
"97",14,"Red Junglefowl","2021",2021,-3.39435498860715,0.0764914575906306
"98",14,"Red Junglefowl","2022",2022,-3.2837131137988,0.0785486674525002
"99",15,"Red Junglefowl","before 2000",1992,-3.36029872175428,0.105567388910977
"100",15,"Red Junglefowl","2000-2006",2003,-3.67402551628134,0.0793397759838508
"101",15,"Red Junglefowl","2007-2010",2009,-3.47941873912509,0.0750797364888052
"102",15,"Red Junglefowl","2011-2012",2012,-3.34576644676553,0.0805312648443152
"103",15,"Red Junglefowl","2013",2013,-3.44218113615322,0.0960449038626983
"104",15,"Red Junglefowl","2014",2014,-3.13876162698861,0.100895760391418
"105",15,"Red Junglefowl","2015",2015,-3.17919950474161,0.0741473691529526
"106",15,"Red Junglefowl","2016",2016,-3.39968633203936,0.0746152187792515
"107",15,"Red Junglefowl","2017",2017,-3.43270385408165,0.0762081492008558
"108",15,"Red Junglefowl","2018",2018,-3.52491488359242,0.103420584129922
"109",15,"Red Junglefowl","2019",2019,-3.2869882397095,0.077351137332431
"110",15,"Red Junglefowl","2020",2020,-3.47682120529925,0.0734729652945408
"111",15,"Red Junglefowl","2021",2021,-3.18820155763673,0.0989023672050456
